ms,pos,steps,strain,g
0,0.000,200,-34.00,0.251
2,0.000,200,-33.00,0.252
10,0.000,200,-37.00,0.250
111,0.000,200,242.00,0.400
214,0.000,200,832.00,0.718
315,0.000,200,1084.00,0.854
417,0.000,200,1073.00,0.848
518,0.000,200,1096.00,0.860
619,0.000,200,1137.00,0.882
721,0.000,200,1189.00,0.911
822,0.000,200,1181.00,0.906
923,0.000,200,1163.00,0.896
1025,0.000,200,1134.00,0.881
1126,0.000,200,1075.00,0.849
1228,0.000,200,1113.00,0.870
1330,0.000,200,1132.00,0.880
1431,0.000,200,1174.00,0.902
1533,0.000,200,1172.00,0.901
1634,0.000,200,1181.00,0.906
1736,0.000,200,1206.00,0.920
1837,0.000,200,1235.00,0.935
1938,0.000,200,1221.00,0.928
2040,0.000,200,1266.00,0.952
2141,0.000,200,1309.00,0.975
2242,0.000,200,1293.00,0.967
2344,0.000,200,1255.00,0.946
2445,0.000,200,1240.00,0.938
2548,0.000,200,1289.00,0.964
2649,0.000,200,1300.00,0.970
2750,0.000,200,1289.00,0.964
2852,0.000,200,1299.00,0.970
2953,0.000,200,1317.00,0.980
3054,0.000,200,1333.00,0.988
3156,0.000,200,1323.00,0.983
3257,0.000,200,1323.00,0.983
3359,0.000,200,1356.00,1.001
3460,0.000,200,1356.00,1.001
3561,0.000,200,1333.00,0.988
3663,0.000,200,1362.00,1.004
3765,0.000,200,1382.00,1.015
3866,0.000,200,1370.00,1.008
3968,0.000,200,1393.00,1.020
4069,0.000,200,1390.00,1.019
4171,0.000,200,1413.00,1.031
4272,0.000,200,1436.00,1.044
4373,0.000,200,1436.00,1.044
4475,0.000,200,1484.00,1.070
4576,0.000,200,1479.00,1.067
4677,0.000,200,1478.00,1.066
4779,0.000,200,1469.00,1.061
4880,0.000,200,1498.00,1.077
4983,0.000,200,1545.00,1.102
5084,0.000,200,1530.00,1.094
5185,0.000,200,1529.00,1.094
5287,0.000,200,1577.00,1.120
5388,0.000,200,1577.00,1.120
5490,0.000,200,1637.00,1.152
5591,0.000,200,1610.00,1.137
5692,0.000,200,1607.00,1.136
5794,0.000,200,1657.00,1.163
5895,0.000,200,1705.00,1.189
5997,0.000,200,1707.00,1.190
6099,0.000,200,1719.00,1.196
6200,0.000,200,1759.00,1.218
6302,0.000,200,1775.00,1.226
6403,0.000,200,1812.00,1.246
6504,0.000,200,1847.00,1.265
6606,0.000,200,1864.00,1.274
6707,0.000,200,1888.00,1.287
6808,0.000,200,1993.00,1.344
6910,0.000,200,1995.00,1.345
7011,0.000,200,2040.00,1.369
7114,0.000,200,2114.00,1.409
7215,0.000,200,2151.00,1.429
7316,0.000,200,2226.00,1.470
7418,0.000,200,2288.00,1.503
7519,0.000,200,2302.00,1.511
7620,0.000,200,2404.00,1.565
7722,0.000,200,2461.00,1.596
7823,0.000,200,2431.00,1.580
7925,0.000,200,2392.00,1.559
8026,0.000,200,2289.00,1.504
8127,0.000,200,2091.00,1.397
8229,0.000,200,2003.00,1.349
8331,0.000,200,1883.00,1.285
8432,0.000,200,1780.00,1.229
8534,0.000,200,1697.00,1.184
8635,0.000,200,1586.00,1.125
8737,0.000,200,1521.00,1.089
8838,0.000,200,1517.00,1.087
8939,0.000,200,1457.00,1.055
9041,0.000,200,1386.00,1.017
9142,0.000,200,1354.00,0.999
9243,0.000,200,1310.00,0.976
9345,0.000,200,1270.00,0.954
9447,0.000,200,1279.00,0.959
9549,0.000,200,1298.00,0.969
9650,0.000,200,1243.00,0.940
9751,0.000,200,1215.00,0.925
9853,0.000,200,1186.00,0.909
9954,0.000,200,1159.00,0.894
10056,0.000,200,1099.00,0.862
10157,0.000,200,1092.00,0.858
10258,0.000,200,1087.00,0.856
10360,0.000,200,1059.00,0.840
10461,0.000,200,1074.00,0.849
10562,0.000,200,1065.00,0.844
10664,0.000,200,1013.00,0.816
10765,0.000,200,1000.00,0.809
10868,0.000,200,1000.00,0.809
10969,0.000,200,964.00,0.789
11070,0.000,200,938.00,0.775
11172,0.000,200,921.00,0.766
11273,0.000,200,918.00,0.764
11374,0.000,200,951.00,0.782
11476,0.000,200,964.00,0.789
11577,0.000,200,948.00,0.781
11679,0.000,200,912.00,0.761
11780,0.000,200,895.00,0.752
11881,0.000,200,881.00,0.744
11984,0.000,200,882.00,0.745
12085,0.000,200,864.00,0.735
12186,0.000,200,867.00,0.737
12288,0.000,200,866.00,0.736
12389,0.000,200,801.00,0.701
12491,0.000,200,771.00,0.685
12592,0.000,200,771.00,0.685
12693,0.000,200,782.00,0.691
12795,0.000,200,829.00,0.716
12896,0.000,200,762.00,0.680
12997,0.000,200,729.00,0.663
13100,0.000,200,740.00,0.668
13201,0.000,200,741.00,0.669
13303,0.000,200,754.00,0.676
13404,0.000,200,696.00,0.645
13505,0.000,200,689.00,0.641
13607,0.000,200,643.00,0.616
13708,0.000,200,657.00,0.624
13810,0.000,200,686.00,0.639
13911,0.000,200,685.00,0.639
14012,0.000,200,641.00,0.615
14114,0.000,200,602.00,0.594
14216,0.000,200,511.00,0.545
14317,0.000,200,326.00,0.445
14419,0.000,200,92.00,0.319
14520,0.000,200,-90.00,0.221
14622,0.000,200,-177.00,0.174
14723,0.000,200,-192.00,0.166
14824,0.000,200,-267.00,0.126
14926,0.000,200,-336.00,0.088
15027,0.000,200,-358.00,0.077
15128,0.000,200,-381.00,0.064
15230,0.000,200,-413.00,0.047
15331,0.000,200,-450.00,0.027
15434,0.000,200,-512.00,-0.006
15535,0.000,200,-577.00,-0.042
15636,0.000,200,-541.00,-0.022
15738,0.000,200,-475.00,0.013
15839,0.000,200,-427.00,0.039
15940,0.000,200,-381.00,0.064
16042,0.000,200,-370.00,0.070
16143,0.000,200,-397.00,0.056
16245,0.000,200,-350.00,0.081
16346,0.000,200,-309.00,0.103
16447,0.000,200,-293.00,0.112
16549,0.000,200,-310.00,0.102
16651,0.000,200,-286.00,0.115
16752,0.000,200,-323.00,0.095
16854,0.000,200,-334.00,0.089
16955,0.000,200,-270.00,0.124
17057,0.000,200,-281.00,0.118
17158,0.000,200,-286.00,0.115