ms,pos,steps,strain,g
0,0.000,200,-389.00,0.060
2,0.000,200,-438.00,0.033
88,0.000,200,-416.00,0.045
189,0.000,200,-259.00,0.130
290,0.000,200,-74.00,0.230
392,0.000,200,-8.00,0.265
493,0.000,200,71.00,0.308
595,0.000,200,157.00,0.354
696,0.000,200,236.00,0.397
797,0.000,200,273.00,0.417
899,0.000,200,276.00,0.418
1001,0.000,200,324.00,0.444
1103,0.000,200,380.00,0.474
1204,0.000,200,413.00,0.492
1305,0.000,200,437.00,0.505
1407,0.000,200,477.00,0.527
1508,0.000,200,465.00,0.520
1609,0.000,200,483.00,0.530
1711,0.000,200,511.00,0.545
1812,0.000,200,527.00,0.554
1914,0.000,200,564.00,0.574
2015,0.000,200,579.00,0.582
2117,0.000,200,574.00,0.579
2219,0.000,200,609.00,0.598
2320,0.000,200,664.00,0.627
2421,0.000,200,681.00,0.637
2523,0.000,200,675.00,0.633
2624,0.000,200,706.00,0.650
2726,0.000,200,721.00,0.658
2827,0.000,200,743.00,0.670
2928,0.000,200,730.00,0.663
3030,0.000,200,755.00,0.677
3131,0.000,200,785.00,0.693
3233,0.000,200,793.00,0.697
3335,0.000,200,813.00,0.708
3436,0.000,200,835.00,0.720
3538,0.000,200,857.00,0.732
3639,0.000,200,892.00,0.750
3740,0.000,200,896.00,0.753
3842,0.000,200,939.00,0.776
3943,0.000,200,962.00,0.788
4044,0.000,200,974.00,0.795
4146,0.000,200,978.00,0.797
4247,0.000,200,1020.00,0.819
4350,0.000,200,1089.00,0.857
4451,0.000,200,1131.00,0.879
4552,0.000,200,1164.00,0.897
4654,0.000,200,1193.00,0.913
4755,0.000,200,1240.00,0.938
4856,0.000,200,1262.00,0.950
4958,0.000,200,1298.00,0.969
5059,0.000,200,1357.00,1.001
5161,0.000,200,1393.00,1.020
5262,0.000,200,1426.00,1.038
5363,0.000,200,1487.00,1.071
5466,0.000,200,1584.00,1.123
5567,0.000,200,1625.00,1.146
5669,0.000,200,1718.00,1.196
5770,0.000,200,1786.00,1.232
5871,0.000,200,1841.00,1.262
5973,0.000,200,1913.00,1.301
6074,0.000,200,2025.00,1.361
6175,0.000,200,2114.00,1.409
6277,0.000,200,2237.00,1.475
6378,0.000,200,2389.00,1.557
6480,0.000,200,2460.00,1.596
6581,0.000,200,2596.00,1.669
6683,0.000,200,2610.00,1.677
6785,0.000,200,2408.00,1.568
6886,0.000,200,2154.00,1.431
6987,0.000,200,1959.00,1.326
7089,0.000,200,1749.00,1.212
7190,0.000,200,1584.00,1.123
7292,0.000,200,1460.00,1.057
7393,0.000,200,1329.00,0.986
7494,0.000,200,1245.00,0.941
7596,0.000,200,1170.00,0.900
7697,0.000,200,1090.00,0.857
7799,0.000,200,1023.00,0.821
7901,0.000,200,981.00,0.798
8002,0.000,200,923.00,0.767
8104,0.000,200,860.00,0.733
8205,0.000,200,811.00,0.707
8306,0.000,200,766.00,0.682
8408,0.000,200,710.00,0.652
8509,0.000,200,637.00,0.613
8610,0.000,200,600.00,0.593
8712,0.000,200,592.00,0.589
8813,0.000,200,524.00,0.552
8916,0.000,200,498.00,0.538
9017,0.000,200,484.00,0.530
9118,0.000,200,432.00,0.502
9220,0.000,200,369.00,0.468
9321,0.000,200,367.00,0.467
9423,0.000,200,406.00,0.488
9524,0.000,200,407.00,0.489
9625,0.000,200,343.00,0.454
9727,0.000,200,332.00,0.449
9828,0.000,200,297.00,0.430
9929,0.000,200,252.00,0.405
10031,0.000,200,242.00,0.400
10133,0.000,200,199.00,0.377
10235,0.000,200,181.00,0.367
10336,0.000,200,176.00,0.364
10437,0.000,200,173.00,0.363
10539,0.000,200,154.00,0.353
10640,0.000,200,142.00,0.346
10741,0.000,200,113.00,0.330
10843,0.000,200,67.00,0.306
10944,0.000,200,69.00,0.307
11046,0.000,200,61.00,0.302
11147,0.000,200,11.00,0.275
11249,0.000,200,-35.00,0.251
11351,0.000,200,-30.00,0.253
11452,0.000,200,-56.00,0.239
11553,0.000,200,-74.00,0.230
11655,0.000,200,-115.00,0.208
11756,0.000,200,-169.00,0.178
11858,0.000,200,-189.00,0.168
11959,0.000,200,-217.00,0.153
12060,0.000,200,-239.00,0.141
12162,0.000,200,-307.00,0.104
12263,0.000,200,-327.00,0.093
12365,0.000,200,-379.00,0.065
12467,0.000,200,-485.00,0.008
12568,0.000,200,-514.00,-0.008
12670,0.000,200,-531.00,-0.017
12771,0.000,200,-577.00,-0.042
12872,0.000,200,-664.00,-0.088
12974,0.000,200,-725.00,-0.121