ms,pos,steps,strain,g
0,0.000,200,-79.00,0.227
2,0.000,200,-84.00,0.224
69,0.000,200,35.00,0.288
171,0.000,200,555.00,0.569
272,0.000,200,900.00,0.755
374,0.000,200,900.00,0.755
476,0.000,200,905.00,0.757
577,0.000,200,915.00,0.763
679,0.000,200,966.00,0.790
780,0.000,200,965.00,0.790
881,0.000,200,1002.00,0.810
983,0.000,200,1013.00,0.816
1084,0.000,200,1014.00,0.816
1185,0.000,200,1011.00,0.815
1287,0.000,200,1005.00,0.811
1389,0.000,200,1059.00,0.840
1491,0.000,200,1108.00,0.867
1592,0.000,200,1095.00,0.860
1693,0.000,200,1053.00,0.837
1795,0.000,200,1062.00,0.842
1896,0.000,200,1093.00,0.859
1998,0.000,200,1079.00,0.851
2099,0.000,200,1072.00,0.847
2200,0.000,200,1133.00,0.880
2302,0.000,200,1142.00,0.885
2403,0.000,200,1134.00,0.881
2505,0.000,200,1143.00,0.886
2607,0.000,200,1155.00,0.892
2708,0.000,200,1139.00,0.884
2810,0.000,200,1172.00,0.901
2911,0.000,200,1179.00,0.905
3012,0.000,200,1167.00,0.899
3114,0.000,200,1173.00,0.902
3215,0.000,200,1166.00,0.898
3316,0.000,200,1176.00,0.904
3418,0.000,200,1208.00,0.921
3519,0.000,200,1181.00,0.906
3621,0.000,200,1184.00,0.908
3723,0.000,200,1225.00,0.930
3824,0.000,200,1274.00,0.956
3926,0.000,200,1284.00,0.962
4027,0.000,200,1277.00,0.958
4128,0.000,200,1286.00,0.963
4230,0.000,200,1302.00,0.971
4331,0.000,200,1283.00,0.961
4433,0.000,200,1303.00,0.972
4534,0.000,200,1322.00,0.982
4635,0.000,200,1309.00,0.975
4737,0.000,200,1367.00,1.006
4839,0.000,200,1395.00,1.022
4941,0.000,200,1411.00,1.030
5042,0.000,200,1442.00,1.047
5143,0.000,200,1444.00,1.048
5245,0.000,200,1497.00,1.077
5346,0.000,200,1499.00,1.078
5447,0.000,200,1491.00,1.073
5549,0.000,200,1546.00,1.103
5650,0.000,200,1566.00,1.114
5752,0.000,200,1562.00,1.112
5853,0.000,200,1579.00,1.121
5955,0.000,200,1604.00,1.134
6057,0.000,200,1676.00,1.173
6158,0.000,200,1756.00,1.216
6259,0.000,200,1762.00,1.219
6361,0.000,200,1813.00,1.247
6462,0.000,200,1868.00,1.277
6564,0.000,200,1910.00,1.299
6665,0.000,200,1955.00,1.323
6766,0.000,200,2010.00,1.353
6868,0.000,200,2037.00,1.368
6969,0.000,200,2077.00,1.389
7070,0.000,200,2092.00,1.397
7172,0.000,200,2143.00,1.425
7274,0.000,200,2222.00,1.467
7376,0.000,200,2295.00,1.507
7477,0.000,200,2394.00,1.560
7578,0.000,200,2447.00,1.589
7680,0.000,200,2527.00,1.632
7781,0.000,200,2586.00,1.664
7882,0.000,200,2522.00,1.629
7984,0.000,200,2341.00,1.532
8085,0.000,200,2157.00,1.432
8187,0.000,200,2030.00,1.364
8288,0.000,200,1883.00,1.285
8390,0.000,200,1783.00,1.231
8492,0.000,200,1708.00,1.190
8593,0.000,200,1630.00,1.148
8694,0.000,200,1572.00,1.117
8796,0.000,200,1503.00,1.080
8897,0.000,200,1418.00,1.034
8999,0.000,200,1385.00,1.016
9100,0.000,200,1345.00,0.995
9201,0.000,200,1291.00,0.965
9303,0.000,200,1223.00,0.929
9404,0.000,200,1175.00,0.903
9505,0.000,200,1157.00,0.893
9608,0.000,200,1199.00,0.916
9709,0.000,200,1207.00,0.920
9811,0.000,200,1158.00,0.894
9912,0.000,200,1145.00,0.887
10013,0.000,200,1114.00,0.870
10115,0.000,200,1137.00,0.882
10216,0.000,200,1108.00,0.867
10318,0.000,200,1074.00,0.849
10419,0.000,200,1058.00,0.840
10520,0.000,200,1061.00,0.842
10622,0.000,200,1030.00,0.825
10724,0.000,200,1012.00,0.815
10825,0.000,200,982.00,0.799
10927,0.000,200,1001.00,0.809
11028,0.000,200,965.00,0.790
11130,0.000,200,961.00,0.788
11231,0.000,200,979.00,0.797
11332,0.000,200,971.00,0.793
11434,0.000,200,960.00,0.787
11535,0.000,200,917.00,0.764
11636,0.000,200,925.00,0.768
11738,0.000,200,890.00,0.749
11839,0.000,200,864.00,0.735
11941,0.000,200,878.00,0.743
12043,0.000,200,879.00,0.743
12144,0.000,200,853.00,0.729
12246,0.000,200,853.00,0.729
12347,0.000,200,849.00,0.727
12448,0.000,200,828.00,0.716
12550,0.000,200,854.00,0.730
12651,0.000,200,807.00,0.705
12753,0.000,200,802.00,0.702
12854,0.000,200,830.00,0.717
12955,0.000,200,841.00,0.723
13057,0.000,200,817.00,0.710
13159,0.000,200,736.00,0.666
13261,0.000,200,730.00,0.663
13362,0.000,200,705.00,0.650
13463,0.000,200,701.00,0.647
13565,0.000,200,740.00,0.668
13666,0.000,200,742.00,0.670
13767,0.000,200,678.00,0.635
13869,0.000,200,682.00,0.637
13970,0.000,200,628.00,0.608
14072,0.000,200,603.00,0.595