ms,pos,steps,strain,g
0,0.000,200,16.00,0.278
3,0.000,200,-16.00,0.261
85,0.000,200,36.00,0.289
187,0.000,200,168.00,0.360
288,0.000,200,321.00,0.443
391,0.000,200,442.00,0.508
492,0.000,200,511.00,0.545
593,0.000,200,590.00,0.588
695,0.000,200,605.00,0.596
796,0.000,200,637.00,0.613
897,0.000,200,693.00,0.643
999,0.000,200,753.00,0.675
1100,0.000,200,813.00,0.708
1202,0.000,200,811.00,0.707
1303,0.000,200,823.00,0.713
1404,0.000,200,849.00,0.727
1507,0.000,200,882.00,0.745
1608,0.000,200,885.00,0.747
1710,0.000,200,908.00,0.759
1811,0.000,200,954.00,0.784
1912,0.000,200,971.00,0.793
2014,0.000,200,975.00,0.795
2115,0.000,200,993.00,0.805
2216,0.000,200,1011.00,0.815
2318,0.000,200,1036.00,0.828
2419,0.000,200,1053.00,0.837
2522,0.000,200,1082.00,0.853
2623,0.000,200,1068.00,0.845
2724,0.000,200,1078.00,0.851
2826,0.000,200,1092.00,0.858
2927,0.000,200,1123.00,0.875
3028,0.000,200,1132.00,0.880
3130,0.000,200,1159.00,0.894
3231,0.000,200,1138.00,0.883
3333,0.000,200,1164.00,0.897
3434,0.000,200,1161.00,0.895
3535,0.000,200,1202.00,0.918
3638,0.000,200,1229.00,0.932
3739,0.000,200,1241.00,0.939
3840,0.000,200,1268.00,0.953
3942,0.000,200,1320.00,0.981
4043,0.000,200,1349.00,0.997
4145,0.000,200,1373.00,1.010
4246,0.000,200,1433.00,1.042
4347,0.000,200,1476.00,1.065
4449,0.000,200,1472.00,1.063
4550,0.000,200,1454.00,1.053
4651,0.000,200,1510.00,1.084
4753,0.000,200,1558.00,1.109
4855,0.000,200,1592.00,1.128
4957,0.000,200,1611.00,1.138
5058,0.000,200,1688.00,1.180
5159,0.000,200,1720.00,1.197
5261,0.000,200,1798.00,1.239
5362,0.000,200,1818.00,1.250
5464,0.000,200,1869.00,1.277
5565,0.000,200,1935.00,1.313
5666,0.000,200,1999.00,1.347
5768,0.000,200,2066.00,1.383
5869,0.000,200,2117.00,1.411
5971,0.000,200,2225.00,1.469
6073,0.000,200,2316.00,1.518
6174,0.000,200,2392.00,1.559
6276,0.000,200,2520.00,1.628
6377,0.000,200,2652.00,1.699
6478,0.000,200,2771.00,1.763
6580,0.000,200,2907.00,1.837
6681,0.000,200,2970.00,1.871
6782,0.000,200,2788.00,1.773
6884,0.000,200,2506.00,1.620
6986,0.000,200,2266.00,1.491
7088,0.000,200,2086.00,1.394
7189,0.000,200,1959.00,1.326
7290,0.000,200,1864.00,1.274
7392,0.000,200,1758.00,1.217
7493,0.000,200,1678.00,1.174
7594,0.000,200,1594.00,1.129
7696,0.000,200,1490.00,1.073
7797,0.000,200,1405.00,1.027
7899,0.000,200,1369.00,1.008
8000,0.000,200,1327.00,0.985
8101,0.000,200,1253.00,0.945
8204,0.000,200,1203.00,0.918