ms,pos,steps,strain,g
0,0.000,200,18.00,0.279
2,0.000,200,-26.00,0.256
8,0.000,200,-11.00,0.264
100,0.000,200,62.00,0.303
191,0.000,200,80.00,0.313
283,0.000,200,90.00,0.318
375,0.000,200,144.00,0.347
467,0.000,200,245.00,0.402
558,0.000,200,281.00,0.421
650,0.000,200,288.00,0.425
741,0.000,200,310.00,0.437
833,0.000,200,373.00,0.471
925,0.000,200,354.00,0.460
1017,0.000,200,321.00,0.443
1109,0.000,200,304.00,0.433
1200,0.000,200,379.00,0.474
1292,0.000,200,436.00,0.505
1383,0.000,200,387.00,0.478
1475,0.000,200,378.00,0.473
1566,0.000,200,395.00,0.482
1659,0.000,200,439.00,0.506
1750,0.000,200,509.00,0.544
1842,0.000,200,471.00,0.523
1934,0.000,200,455.00,0.515
2025,0.000,200,482.00,0.529
2117,0.000,200,506.00,0.542
2209,0.000,200,567.00,0.575
2301,0.000,200,541.00,0.561
2392,0.000,200,503.00,0.541
2484,0.000,200,573.00,0.578
2575,0.000,200,572.00,0.578
2667,0.000,200,596.00,0.591
2758,0.000,200,601.00,0.594
2851,0.000,200,552.00,0.567
2943,0.000,200,582.00,0.583
3034,0.000,200,568.00,0.576
3126,0.000,200,519.00,0.549
3217,0.000,200,576.00,0.580
3309,0.000,200,536.00,0.558
3400,0.000,200,541.00,0.561
3493,0.000,200,577.00,0.581
3584,0.000,200,587.00,0.586
3676,0.000,200,601.00,0.594
3768,0.000,200,669.00,0.630
3859,0.000,200,647.00,0.618
3951,0.000,200,654.00,0.622
4043,0.000,200,645.00,0.617
4135,0.000,200,701.00,0.647
4226,0.000,200,738.00,0.667
4318,0.000,200,772.00,0.686
4409,0.000,200,735.00,0.666
4501,0.000,200,691.00,0.642
4593,0.000,200,733.00,0.665
4685,0.000,200,782.00,0.691
4777,0.000,200,824.00,0.714
4868,0.000,200,784.00,0.692
4960,0.000,200,764.00,0.681
5051,0.000,200,826.00,0.715
5143,0.000,200,841.00,0.723
5234,0.000,200,881.00,0.744
5327,0.000,200,901.00,0.755
5418,0.000,200,878.00,0.743
5510,0.000,200,861.00,0.734
5602,0.000,200,928.00,0.770
5693,0.000,200,934.00,0.773
5785,0.000,200,930.00,0.771
5877,0.000,200,976.00,0.796
5969,0.000,200,1015.00,0.817
6060,0.000,200,970.00,0.792
6152,0.000,200,913.00,0.762
6243,0.000,200,901.00,0.755
6335,0.000,200,875.00,0.741
6427,0.000,200,842.00,0.723
6519,0.000,200,777.00,0.688
6611,0.000,200,790.00,0.695
6702,0.000,200,759.00,0.679
6794,0.000,200,744.00,0.671
6885,0.000,200,692.00,0.643
6977,0.000,200,607.00,0.597
7068,0.000,200,571.00,0.577
7161,0.000,200,598.00,0.592
7252,0.000,200,543.00,0.562
7344,0.000,200,547.00,0.564
7436,0.000,200,537.00,0.559
7527,0.000,200,500.00,0.539