ms,pos,steps,strain,g
0,0.000,200,0.00,0.270
2,0.000,200,-8.00,0.265
19,0.000,200,19.00,0.280
121,0.000,200,47.00,0.295
222,0.000,200,80.00,0.313
323,0.000,200,94.00,0.320
426,0.000,200,185.00,0.369
527,0.000,200,230.00,0.394
629,0.000,200,233.00,0.395
730,0.000,200,234.00,0.396
831,0.000,200,276.00,0.418
933,0.000,200,277.00,0.419
1034,0.000,200,291.00,0.426
1135,0.000,200,331.00,0.448
1237,0.000,200,342.00,0.454
1339,0.000,200,347.00,0.457
1441,0.000,200,352.00,0.459
1542,0.000,200,412.00,0.492
1643,0.000,200,464.00,0.520
1745,0.000,200,502.00,0.540
1846,0.000,200,468.00,0.522
1947,0.000,200,516.00,0.548
2049,0.000,200,533.00,0.557
2150,0.000,200,512.00,0.546
2253,0.000,200,523.00,0.551
2354,0.000,200,546.00,0.564
2455,0.000,200,571.00,0.577
2557,0.000,200,567.00,0.575
2658,0.000,200,532.00,0.556
2760,0.000,200,570.00,0.577
2861,0.000,200,631.00,0.610
2962,0.000,200,635.00,0.612
3064,0.000,200,661.00,0.626
3166,0.000,200,650.00,0.620
3267,0.000,200,645.00,0.617
3369,0.000,200,679.00,0.636
3470,0.000,200,660.00,0.625
3572,0.000,200,683.00,0.638
3673,0.000,200,699.00,0.646
3774,0.000,200,727.00,0.661
3876,0.000,200,772.00,0.686
3978,0.000,200,715.00,0.655
4079,0.000,200,730.00,0.663
4181,0.000,200,760.00,0.679
4282,0.000,200,751.00,0.674
4384,0.000,200,830.00,0.717
4485,0.000,200,849.00,0.727
4586,0.000,200,806.00,0.704
4688,0.000,200,823.00,0.713
4790,0.000,200,834.00,0.719
4891,0.000,200,804.00,0.703
4993,0.000,200,817.00,0.710
5094,0.000,200,875.00,0.741
5196,0.000,200,921.00,0.766
5297,0.000,200,943.00,0.778
5398,0.000,200,962.00,0.788
5500,0.000,200,1015.00,0.817
5602,0.000,200,1042.00,0.831
5704,0.000,200,1016.00,0.817
5805,0.000,200,995.00,0.806
5906,0.000,200,1066.00,0.844
6008,0.000,200,1087.00,0.856
6109,0.000,200,1050.00,0.836
6210,0.000,200,1076.00,0.850
6312,0.000,200,1124.00,0.875
6414,0.000,200,1112.00,0.869
6516,0.000,200,1138.00,0.883
6617,0.000,200,1193.00,0.913
6718,0.000,200,1203.00,0.918
6820,0.000,200,1224.00,0.929
6921,0.000,200,1262.00,0.950
7022,0.000,200,1310.00,0.976
7124,0.000,200,1311.00,0.976
7226,0.000,200,1325.00,0.984
7328,0.000,200,1348.00,0.996
7429,0.000,200,1397.00,1.023
7530,0.000,200,1448.00,1.050
7632,0.000,200,1452.00,1.052
7733,0.000,200,1449.00,1.051
7834,0.000,200,1494.00,1.075
7936,0.000,200,1531.00,1.095
8037,0.000,200,1536.00,1.098
8139,0.000,200,1543.00,1.101
8241,0.000,200,1598.00,1.131
8342,0.000,200,1613.00,1.139
8444,0.000,200,1620.00,1.143
8545,0.000,200,1663.00,1.166
8646,0.000,200,1665.00,1.167
8748,0.000,200,1703.00,1.188
8849,0.000,200,1792.00,1.236
8951,0.000,200,1811.00,1.246
9052,0.000,200,1853.00,1.268
9153,0.000,200,1899.00,1.293
9256,0.000,200,1933.00,1.312
9357,0.000,200,1961.00,1.327
9459,0.000,200,2039.00,1.369
9560,0.000,200,2082.00,1.392
9661,0.000,200,2066.00,1.383
9763,0.000,200,2108.00,1.406
9864,0.000,200,2215.00,1.464
9965,0.000,200,2277.00,1.497
10068,0.000,200,2264.00,1.490
10169,0.000,200,2291.00,1.505
10271,0.000,200,2357.00,1.540
10372,0.000,200,2455.00,1.593
10473,0.000,200,2508.00,1.622
10575,0.000,200,2452.00,1.591
10676,0.000,200,2069.00,1.385
10777,0.000,200,1733.00,1.204
10879,0.000,200,1653.00,1.161
10981,0.000,200,1508.00,1.082
11083,0.000,200,1422.00,1.036
11184,0.000,200,1390.00,1.019
11285,0.000,200,1284.00,0.962
11387,0.000,200,1204.00,0.919
11488,0.000,200,1098.00,0.861
11589,0.000,200,1023.00,0.821
11691,0.000,200,967.00,0.791
11792,0.000,200,905.00,0.757
11895,0.000,200,872.00,0.740
11996,0.000,200,795.00,0.698
12097,0.000,200,760.00,0.679
12199,0.000,200,771.00,0.685
12300,0.000,200,703.00,0.649
12401,0.000,200,642.00,0.616
12503,0.000,200,664.00,0.627
12604,0.000,200,574.00,0.579
12707,0.000,200,527.00,0.554
12808,0.000,200,521.00,0.550
12909,0.000,200,496.00,0.537
13011,0.000,200,451.00,0.513
13112,0.000,200,413.00,0.492
13214,0.000,200,392.00,0.481
13315,0.000,200,397.00,0.484
13416,0.000,200,342.00,0.454
13518,0.000,200,307.00,0.435
13619,0.000,200,323.00,0.444
13721,0.000,200,291.00,0.426
13823,0.000,200,232.00,0.395
13924,0.000,200,246.00,0.402
14026,0.000,200,211.00,0.383
14127,0.000,200,181.00,0.367
14228,0.000,200,159.00,0.355
14330,0.000,200,129.00,0.339
14431,0.000,200,113.00,0.330
14533,0.000,200,143.00,0.347
14635,0.000,200,113.00,0.330
14736,0.000,200,97.00,0.322
14838,0.000,200,66.00,0.305
14939,0.000,200,52.00,0.298
15040,0.000,200,37.00,0.289
15142,0.000,200,7.00,0.273
15243,0.000,200,20.00,0.280
15344,0.000,200,9.00,0.274
15446,0.000,200,0.00,0.270
15548,0.000,200,-9.00,0.265
15650,0.000,200,-27.00,0.255
15751,0.000,200,-59.00,0.238
15852,0.000,200,-37.00,0.250
15954,0.000,200,-60.00,0.237
16055,0.000,200,-72.00,0.231
16156,0.000,200,-57.00,0.239
16258,0.000,200,-62.00,0.236
16360,0.000,200,-109.00,0.211
16462,0.000,200,-105.00,0.213
16563,0.000,200,-128.00,0.201
16664,0.000,200,-159.00,0.184
16766,0.000,200,-133.00,0.198
16867,0.000,200,-129.00,0.200
16969,0.000,200,-113.00,0.209
17070,0.000,200,-144.00,0.192
17171,0.000,200,-168.00,0.179
17274,0.000,200,-174.00,0.176
17375,0.000,200,-175.00,0.175
17476,0.000,200,-167.00,0.180
17578,0.000,200,-131.00,0.199
17679,0.000,200,-162.00,0.182
17781,0.000,200,-192.00,0.166
17882,0.000,200,-228.00,0.147
17983,0.000,200,-258.00,0.130
18085,0.000,200,-235.00,0.143
18187,0.000,200,-226.00,0.148
18288,0.000,200,-237.00,0.142
18390,0.000,200,-240.00,0.140
18491,0.000,200,-250.00,0.135
18593,0.000,200,-297.00,0.109
18694,0.000,200,-291.00,0.113
18795,0.000,200,-287.00,0.115
18897,0.000,200,-294.00,0.111
18998,0.000,200,-294.00,0.111
19100,0.000,200,-324.00,0.095
19202,0.000,200,-374.00,0.068
19303,0.000,200,-341.00,0.086
19405,0.000,200,-315.00,0.100
19506,0.000,200,-350.00,0.081
19607,0.000,200,-396.00,0.056
19709,0.000,200,-381.00,0.064
19810,0.000,200,-376.00,0.067
19912,0.000,200,-395.00,0.057
20013,0.000,200,-404.00,0.052
20115,0.000,200,-370.00,0.070
20217,0.000,200,-361.00,0.075
20318,0.000,200,-383.00,0.063
20419,0.000,200,-422.00,0.042
20521,0.000,200,-422.00,0.042
20622,0.000,200,-401.00,0.053
20724,0.000,200,-435.00,0.035
20825,0.000,200,-495.00,0.003
20926,0.000,200,-479.00,0.011
21029,0.000,200,-467.00,0.018
21130,0.000,200,-494.00,0.003
21231,0.000,200,-499.00,0.001