ms,pos,steps,strain,g
0,0.000,200,922.00,0.767
2,0.000,200,927.00,0.769
32,0.000,200,957.00,0.785
133,0.000,200,1356.00,1.001
234,0.000,200,2156.00,1.432
336,0.000,200,2841.00,1.801
438,0.000,200,3256.00,2.025
539,0.000,200,3614.00,2.218
641,0.000,200,3892.00,2.368
742,0.000,200,4106.00,2.483
844,0.000,200,4286.00,2.580
945,0.000,200,4430.00,2.658
1046,0.000,200,4522.00,2.707
1148,0.000,200,4545.00,2.720
1250,0.000,200,4613.00,2.756
1351,0.000,200,4733.00,2.821
1453,0.000,200,4867.00,2.893
1554,0.000,200,4990.00,2.960
1656,0.000,200,5138.00,3.039
1757,0.000,200,5316.00,3.135
1858,0.000,200,5290.00,3.121
1960,0.000,200,4878.00,2.899
2062,0.000,200,4350.00,2.615