ms,pos,steps,strain,g
0,0.000,200,-55.00,0.240
2,0.000,200,-56.00,0.239
10,0.000,200,-44.00,0.246
111,0.000,200,9.00,0.274
213,0.000,200,172.00,0.362
314,0.000,200,321.00,0.443
415,0.000,200,433.00,0.503
517,0.000,200,494.00,0.536
618,0.000,200,555.00,0.569
721,0.000,200,615.00,0.601
822,0.000,200,644.00,0.617
923,0.000,200,652.00,0.621
1025,0.000,200,639.00,0.614
1126,0.000,200,671.00,0.631
1227,0.000,200,720.00,0.658
1329,0.000,200,777.00,0.688
1430,0.000,200,805.00,0.704
1533,0.000,200,807.00,0.705
1634,0.000,200,781.00,0.691
1735,0.000,200,733.00,0.665
1837,0.000,200,779.00,0.689
1938,0.000,200,842.00,0.723
2039,0.000,200,823.00,0.713
2141,0.000,200,826.00,0.715
2243,0.000,200,860.00,0.733
2345,0.000,200,858.00,0.732
2446,0.000,200,848.00,0.727
2547,0.000,200,862.00,0.734
2649,0.000,200,919.00,0.765
2750,0.000,200,929.00,0.770
2851,0.000,200,892.00,0.750
2953,0.000,200,878.00,0.743
3055,0.000,200,933.00,0.773
3157,0.000,200,957.00,0.785
3258,0.000,200,938.00,0.775
3359,0.000,200,969.00,0.792
3461,0.000,200,991.00,0.804
3562,0.000,200,1022.00,0.820
3664,0.000,200,995.00,0.806
3765,0.000,200,944.00,0.778
3867,0.000,200,983.00,0.799
3969,0.000,200,1024.00,0.822
4070,0.000,200,1075.00,0.849
4171,0.000,200,1045.00,0.833
4273,0.000,200,1050.00,0.836
4374,0.000,200,1101.00,0.863
4476,0.000,200,1127.00,0.877
4578,0.000,200,1099.00,0.862
4679,0.000,200,1106.00,0.866
4781,0.000,200,1098.00,0.861
4882,0.000,200,1105.00,0.865
4983,0.000,200,1074.00,0.849
5085,0.000,200,1102.00,0.864
5186,0.000,200,1173.00,0.902
5288,0.000,200,1129.00,0.878
5389,0.000,200,1124.00,0.875
5491,0.000,200,1167.00,0.899
5593,0.000,200,1189.00,0.911
5694,0.000,200,1201.00,0.917
5795,0.000,200,1205.00,0.919
5897,0.000,200,1240.00,0.938
5998,0.000,200,1241.00,0.939
6100,0.000,200,1213.00,0.923
6202,0.000,200,1228.00,0.932
6303,0.000,200,1250.00,0.943
6405,0.000,200,1265.00,0.951
6506,0.000,200,1290.00,0.965
6608,0.000,200,1306.00,0.974
6709,0.000,200,1326.00,0.984
6810,0.000,200,1383.00,1.015
6913,0.000,200,1376.00,1.011
7014,0.000,200,1380.00,1.013
7115,0.000,200,1426.00,1.038
7217,0.000,200,1436.00,1.044
7318,0.000,200,1488.00,1.072
7420,0.000,200,1539.00,1.099
7521,0.000,200,1519.00,1.088
7623,0.000,200,1511.00,1.084
7725,0.000,200,1596.00,1.130
7826,0.000,200,1621.00,1.143
7927,0.000,200,1652.00,1.160
8029,0.000,200,1698.00,1.185
8130,0.000,200,1697.00,1.184
8232,0.000,200,1695.00,1.183
8334,0.000,200,1583.00,1.123
8435,0.000,200,1430.00,1.040
8537,0.000,200,1281.00,0.960
8638,0.000,200,1175.00,0.903
8739,0.000,200,1128.00,0.878
8841,0.000,200,1135.00,0.881
8942,0.000,200,1062.00,0.842
9044,0.000,200,955.00,0.784
9146,0.000,200,943.00,0.778
9247,0.000,200,914.00,0.762
9349,0.000,200,874.00,0.741
9450,0.000,200,863.00,0.735
9552,0.000,200,817.00,0.710
9653,0.000,200,803.00,0.702
9754,0.000,200,749.00,0.673
9856,0.000,200,731.00,0.664
9957,0.000,200,689.00,0.641
10059,0.000,200,662.00,0.626
10161,0.000,200,688.00,0.640
10262,0.000,200,697.00,0.645
10364,0.000,200,685.00,0.639
10465,0.000,200,661.00,0.626
10566,0.000,200,639.00,0.614
10668,0.000,200,611.00,0.599
10769,0.000,200,610.00,0.598
10871,0.000,200,609.00,0.598
10973,0.000,200,618.00,0.603
11074,0.000,200,606.00,0.596
11176,0.000,200,582.00,0.583
11277,0.000,200,561.00,0.572
11378,0.000,200,478.00,0.527
11480,0.000,200,508.00,0.543
11581,0.000,200,496.00,0.537
11682,0.000,200,524.00,0.552
11785,0.000,200,565.00,0.574
11886,0.000,200,527.00,0.554
11988,0.000,200,509.00,0.544
12089,0.000,200,478.00,0.527
12190,0.000,200,429.00,0.501
12292,0.000,200,408.00,0.489
12393,0.000,200,419.00,0.495
12495,0.000,200,437.00,0.505
12597,0.000,200,413.00,0.492
12698,0.000,200,438.00,0.506
12800,0.000,200,432.00,0.502
12901,0.000,200,398.00,0.484
13002,0.000,200,361.00,0.464
13104,0.000,200,355.00,0.461
13205,0.000,200,329.00,0.447
13307,0.000,200,281.00,0.421
13409,0.000,200,327.00,0.446
13510,0.000,200,308.00,0.436