ms,pos,steps,strain,g
0,0.000,200,-38.00,0.249
3,0.000,200,-62.00,0.236
26,0.000,200,-32.00,0.252
127,0.000,200,179.00,0.366
229,0.000,200,400.00,0.485
330,0.000,200,490.00,0.534
432,0.000,200,544.00,0.563
533,0.000,200,611.00,0.599
634,0.000,200,686.00,0.639
736,0.000,200,773.00,0.686
838,0.000,200,811.00,0.707
939,0.000,200,826.00,0.715
1041,0.000,200,893.00,0.751
1142,0.000,200,976.00,0.796
1244,0.000,200,1041.00,0.831
1345,0.000,200,1116.00,0.871
1446,0.000,200,1169.00,0.900
1548,0.000,200,1211.00,0.922
1649,0.000,200,1254.00,0.946
1750,0.000,200,1346.00,0.995
1853,0.000,200,1403.00,1.026
1954,0.000,200,1451.00,1.052
2056,0.000,200,1506.00,1.081
2157,0.000,200,1578.00,1.120
2258,0.000,200,1659.00,1.164
2360,0.000,200,1697.00,1.184
2461,0.000,200,1826.00,1.254
2563,0.000,200,1932.00,1.311
2664,0.000,200,2041.00,1.370
2765,0.000,200,2141.00,1.424
2867,0.000,200,2256.00,1.486
2969,0.000,200,2401.00,1.564
3070,0.000,200,2579.00,1.660
3172,0.000,200,2724.00,1.738
3273,0.000,200,2854.00,1.808
3375,0.000,200,2956.00,1.863
3476,0.000,200,3123.00,1.953
3577,0.000,200,3338.00,2.069
3679,0.000,200,3529.00,2.172
3780,0.000,200,3776.00,2.305
3881,0.000,200,4021.00,2.437
3983,0.000,200,4254.00,2.563
4085,0.000,200,4503.00,2.697
4187,0.000,200,4824.00,2.870
4288,0.000,200,5084.00,3.010
4389,0.000,200,5408.00,3.185
4491,0.000,200,5793.00,3.392
4592,0.000,200,6193.00,3.608
4693,0.000,200,6618.00,3.837
4795,0.000,200,7030.00,4.059
4896,0.000,200,7507.00,4.316
4998,0.000,200,8031.00,4.599
5099,0.000,200,8362.00,4.777
5201,0.000,200,8046.00,4.607
5303,0.000,200,7084.00,4.088
5404,0.000,200,6112.00,3.564
5506,0.000,200,5372.00,3.165
5607,0.000,200,4732.00,2.820
5708,0.000,200,4232.00,2.551
5810,0.000,200,3825.00,2.332
5911,0.000,200,3442.00,2.125
6012,0.000,200,3090.00,1.935
6114,0.000,200,2802.00,1.780
6215,0.000,200,2514.00,1.625
6317,0.000,200,2238.00,1.476
6419,0.000,200,2021.00,1.359
6520,0.000,200,1868.00,1.277
6622,0.000,200,1685.00,1.178
6723,0.000,200,1572.00,1.117
6824,0.000,200,1460.00,1.057
6926,0.000,200,1328.00,0.985
7027,0.000,200,1212.00,0.923
7129,0.000,200,1103.00,0.864
7230,0.000,200,998.00,0.808
7331,0.000,200,902.00,0.756
7433,0.000,200,836.00,0.720
7534,0.000,200,726.00,0.661
7635,0.000,200,652.00,0.621
7738,0.000,200,629.00,0.609
7839,0.000,200,574.00,0.579
7941,0.000,200,535.00,0.558
8042,0.000,200,506.00,0.542
8143,0.000,200,502.00,0.540
8245,0.000,200,467.00,0.521
8346,0.000,200,388.00,0.479
8447,0.000,200,335.00,0.450
8549,0.000,200,316.00,0.440
8650,0.000,200,293.00,0.427