ms,pos,steps,strain,g
0,0.000,200,-125.00,0.202
2,0.000,200,-117.00,0.206
53,0.000,200,-161.00,0.183
154,0.000,200,-197.00,0.163
256,0.000,200,-190.00,0.167
357,0.000,200,-196.00,0.164
459,0.000,200,-286.00,0.115
560,0.000,200,-309.00,0.103
661,0.000,200,-323.00,0.095
764,0.000,200,-322.00,0.096
865,0.000,200,-351.00,0.080
966,0.000,200,-325.00,0.094
1068,0.000,200,-329.00,0.092
1169,0.000,200,-349.00,0.081
1271,0.000,200,-395.00,0.057
1372,0.000,200,-415.00,0.046
1473,0.000,200,-434.00,0.036
1575,0.000,200,-423.00,0.042
1676,0.000,200,-424.00,0.041
1778,0.000,200,-431.00,0.037
1880,0.000,200,-457.00,0.023
1981,0.000,200,-499.00,0.001
2083,0.000,200,-546.00,-0.025
2184,0.000,200,-607.00,-0.058
2285,0.000,200,-565.00,-0.035
2387,0.000,200,-544.00,-0.024
2488,0.000,200,-588.00,-0.047
2589,0.000,200,-622.00,-0.066
2692,0.000,200,-634.00,-0.072
2793,0.000,200,-695.00,-0.105
2895,0.000,200,-749.00,-0.134
2996,0.000,200,-697.00,-0.106
3097,0.000,200,-738.00,-0.128
3199,0.000,200,-813.00,-0.169
3300,0.000,200,-792.00,-0.157
3401,0.000,200,-783.00,-0.153
3503,0.000,200,-837.00,-0.182
3604,0.000,200,-890.00,-0.210
3706,0.000,200,-934.00,-0.234
3808,0.000,200,-966.00,-0.251
3909,0.000,200,-996.00,-0.267
4011,0.000,200,-1050.00,-0.296
4112,0.000,200,-1115.00,-0.332
4214,0.000,200,-1109.00,-0.328
4315,0.000,200,-1150.00,-0.350
4416,0.000,200,-1202.00,-0.378
4518,0.000,200,-1270.00,-0.415
4619,0.000,200,-1336.00,-0.451
4720,0.000,200,-1348.00,-0.457
4823,0.000,200,-1390.00,-0.480
4924,0.000,200,-1472.00,-0.524
5026,0.000,200,-1513.00,-0.546
5127,0.000,200,-1576.00,-0.580
5228,0.000,200,-1643.00,-0.616
5330,0.000,200,-1692.00,-0.643
5431,0.000,200,-1732.00,-0.664
5532,0.000,200,-1771.00,-0.685
5634,0.000,200,-1826.00,-0.715
5735,0.000,200,-1787.00,-0.694
5838,0.000,200,-1674.00,-0.633
5939,0.000,200,-1527.00,-0.554