ms,pos,steps,strain,g
0,0.000,200,-14.00,0.262
2,0.000,200,-28.00,0.254
51,0.000,200,41.00,0.292
153,0.000,200,558.00,0.570
254,0.000,200,1294.00,0.967
356,0.000,200,1942.00,1.316
458,0.000,200,2467.00,1.599
559,0.000,200,2856.00,1.809
661,0.000,200,3115.00,1.949
762,0.000,200,3393.00,2.099
863,0.000,200,3670.00,2.248
965,0.000,200,3847.00,2.343
1066,0.000,200,3955.00,2.402
1168,0.000,200,4035.00,2.445
1269,0.000,200,4183.00,2.525
1371,0.000,200,4311.00,2.594
1473,0.000,200,4445.00,2.666
1574,0.000,200,4612.00,2.756
1675,0.000,200,4794.00,2.854
1777,0.000,200,4969.00,2.948
1878,0.000,200,4850.00,2.884
1980,0.000,200,4453.00,2.670
2081,0.000,200,3968.00,2.409