ms,pos,steps,strain,g
0,0.000,200,-785.00,-0.154
2,0.000,200,-777.00,-0.149
79,0.000,200,-652.00,-0.082
180,0.000,200,-38.00,0.249
281,0.000,200,654.00,0.622
383,0.000,200,1211.00,0.922
484,0.000,200,1644.00,1.156
587,0.000,200,1990.00,1.342
688,0.000,200,2254.00,1.485
789,0.000,200,2504.00,1.619
891,0.000,200,2682.00,1.715
992,0.000,200,2866.00,1.815
1093,0.000,200,3006.00,1.890
1195,0.000,200,3113.00,1.948
1296,0.000,200,3228.00,2.010
1398,0.000,200,3341.00,2.071
1499,0.000,200,3490.00,2.151
1601,0.000,200,3632.00,2.227
1703,0.000,200,3837.00,2.338
1804,0.000,200,3945.00,2.396
1906,0.000,200,3744.00,2.288
2007,0.000,200,3283.00,2.039