ms,pos,steps,strain,g
0,0.000,200,44.00,0.293
2,0.000,200,50.00,0.296
24,0.000,200,54.00,0.299
125,0.000,200,82.00,0.314
226,0.000,200,202.00,0.378
328,0.000,200,274.00,0.417
429,0.000,200,295.00,0.429
531,0.000,200,340.00,0.453
632,0.000,200,414.00,0.493
733,0.000,200,490.00,0.534
836,0.000,200,511.00,0.545
937,0.000,200,496.00,0.537
1038,0.000,200,525.00,0.553
1140,0.000,200,580.00,0.582
1241,0.000,200,604.00,0.595
1343,0.000,200,606.00,0.596
1444,0.000,200,667.00,0.629
1545,0.000,200,690.00,0.642
1647,0.000,200,657.00,0.624
1748,0.000,200,691.00,0.642
1849,0.000,200,732.00,0.664
1951,0.000,200,761.00,0.680
2052,0.000,200,757.00,0.678
2155,0.000,200,756.00,0.677
2256,0.000,200,805.00,0.704
2357,0.000,200,860.00,0.733
2459,0.000,200,876.00,0.742
2560,0.000,200,912.00,0.761
2661,0.000,200,921.00,0.766
2763,0.000,200,959.00,0.787
2864,0.000,200,1010.00,0.814
2966,0.000,200,1051.00,0.836
3067,0.000,200,1094.00,0.859
3168,0.000,200,1106.00,0.866
3270,0.000,200,1116.00,0.871
3372,0.000,200,1183.00,0.907
3473,0.000,200,1200.00,0.916
3575,0.000,200,1283.00,0.961
3676,0.000,200,1367.00,1.006
3778,0.000,200,1371.00,1.009
3879,0.000,200,1385.00,1.016
3980,0.000,200,1445.00,1.049
4082,0.000,200,1480.00,1.067
4183,0.000,200,1552.00,1.106
4284,0.000,200,1621.00,1.143
4386,0.000,200,1675.00,1.173
4487,0.000,200,1738.00,1.206
4589,0.000,200,1820.00,1.251
4691,0.000,200,1922.00,1.306
4792,0.000,200,2028.00,1.363
4894,0.000,200,2075.00,1.388
4995,0.000,200,2142.00,1.424
5097,0.000,200,2277.00,1.497
5198,0.000,200,2382.00,1.554
5299,0.000,200,2458.00,1.595
5401,0.000,200,2558.00,1.649
5502,0.000,200,2693.00,1.721
5603,0.000,200,2785.00,1.771
5705,0.000,200,2937.00,1.853
5806,0.000,200,3002.00,1.888
5909,0.000,200,3057.00,1.918
6010,0.000,200,3186.00,1.987
6111,0.000,200,3152.00,1.969
6213,0.000,200,2886.00,1.825
6314,0.000,200,2575.00,1.658
6415,0.000,200,2349.00,1.536