ms,pos,steps,strain,g
0,0.000,200,-143.00,0.192
2,0.000,200,-170.00,0.178
66,0.000,200,-126.00,0.202
158,0.000,200,-45.00,0.245
250,0.000,200,-7.00,0.266
342,0.000,200,-29.00,0.254
434,0.000,200,-29.00,0.254
525,0.000,200,-35.00,0.251
617,0.000,200,-27.00,0.255
709,0.000,200,29.00,0.285
800,0.000,200,-14.00,0.262
893,0.000,200,-18.00,0.260
985,0.000,200,-57.00,0.239
1076,0.000,200,-85.00,0.224
1168,0.000,200,-21.00,0.258
1259,0.000,200,25.00,0.283
1351,0.000,200,42.00,0.292
1444,0.000,200,29.00,0.285
1535,0.000,200,-4.00,0.267
1627,0.000,200,62.00,0.303
1719,0.000,200,33.00,0.287
1810,0.000,200,69.00,0.307
1902,0.000,200,100.00,0.323
1994,0.000,200,72.00,0.308
2086,0.000,200,27.00,0.284
2178,0.000,200,-13.00,0.263
2269,0.000,200,6.00,0.273
2361,0.000,200,-23.00,0.257
2453,0.000,200,-7.00,0.266
2544,0.000,200,2.00,0.271
2637,0.000,200,-6.00,0.266
2729,0.000,200,-13.00,0.263
2820,0.000,200,67.00,0.306
2912,0.000,200,74.00,0.309
3003,0.000,200,19.00,0.280
3095,0.000,200,8.00,0.274
3187,0.000,200,27.00,0.284
3279,0.000,200,32.00,0.287
3371,0.000,200,4.00,0.272
3463,0.000,200,41.00,0.292
3554,0.000,200,-22.00,0.258
3646,0.000,200,51.00,0.297
3738,0.000,200,38.00,0.290
3829,0.000,200,60.00,0.302
3922,0.000,200,108.00,0.328
4014,0.000,200,107.00,0.327
4105,0.000,200,55.00,0.299
4197,0.000,200,-2.00,0.268
4288,0.000,200,-19.00,0.259
4380,0.000,200,94.00,0.320
4473,0.000,200,93.00,0.320
4564,0.000,200,74.00,0.309
4656,0.000,200,3.00,0.271
4747,0.000,200,50.00,0.296
4839,0.000,200,61.00,0.302
4931,0.000,200,62.00,0.303
5022,0.000,200,64.00,0.304
5115,0.000,200,80.00,0.313
5207,0.000,200,115.00,0.332
5298,0.000,200,77.00,0.311
5390,0.000,200,91.00,0.319
5481,0.000,200,153.00,0.352
5573,0.000,200,171.00,0.362
5666,0.000,200,112.00,0.330
5757,0.000,200,106.00,0.327
5849,0.000,200,79.00,0.312
5940,0.000,200,95.00,0.321
6032,0.000,200,92.00,0.319
6124,0.000,200,132.00,0.341
6215,0.000,200,76.00,0.311
6308,0.000,200,125.00,0.337
6400,0.000,200,173.00,0.363
6491,0.000,200,134.00,0.342
6583,0.000,200,144.00,0.347
6675,0.000,200,110.00,0.329
6766,0.000,200,188.00,0.371
6858,0.000,200,219.00,0.388
6950,0.000,200,148.00,0.349
7042,0.000,200,154.00,0.353
7134,0.000,200,145.00,0.348
7225,0.000,200,215.00,0.385
7317,0.000,200,219.00,0.388
7409,0.000,200,207.00,0.381
7501,0.000,200,197.00,0.376
7593,0.000,200,177.00,0.365
7685,0.000,200,138.00,0.344
7776,0.000,200,128.00,0.339
7868,0.000,200,220.00,0.388
7959,0.000,200,276.00,0.418
8051,0.000,200,263.00,0.411
8144,0.000,200,225.00,0.391
8235,0.000,200,258.00,0.409
8327,0.000,200,240.00,0.399
8419,0.000,200,250.00,0.404
8510,0.000,200,235.00,0.396
8602,0.000,200,273.00,0.417
8693,0.000,200,279.00,0.420
8786,0.000,200,298.00,0.430
8878,0.000,200,296.00,0.429
8969,0.000,200,317.00,0.440
9061,0.000,200,336.00,0.451
9153,0.000,200,295.00,0.429
9244,0.000,200,315.00,0.439
9337,0.000,200,361.00,0.464
9429,0.000,200,358.00,0.463
9520,0.000,200,361.00,0.464
9612,0.000,200,416.00,0.494
9703,0.000,200,402.00,0.486
9795,0.000,200,387.00,0.478
9887,0.000,200,349.00,0.458
9979,0.000,200,377.00,0.473
10071,0.000,200,400.00,0.485
10163,0.000,200,414.00,0.493
10254,0.000,200,401.00,0.486
10346,0.000,200,439.00,0.506
10437,0.000,200,415.00,0.493
10530,0.000,200,337.00,0.451
10622,0.000,200,333.00,0.449
10713,0.000,200,392.00,0.481
10805,0.000,200,452.00,0.513
10897,0.000,200,398.00,0.484
10988,0.000,200,358.00,0.463
11080,0.000,200,405.00,0.488
11173,0.000,200,277.00,0.419
11264,0.000,200,213.00,0.384
11356,0.000,200,227.00,0.392
11447,0.000,200,264.00,0.412
11539,0.000,200,282.00,0.422
11631,0.000,200,249.00,0.404
11722,0.000,200,206.00,0.381
11815,0.000,200,180.00,0.367
11907,0.000,200,149.00,0.350
11998,0.000,200,164.00,0.358
12090,0.000,200,223.00,0.390
12181,0.000,200,133.00,0.341
12273,0.000,200,160.00,0.356
12366,0.000,200,269.00,0.415