ms,pos,steps,strain,g
171,0.000,200,-1663.00,-0.627
272,0.000,200,-3715.00,-1.733
373,0.000,200,-5913.00,-2.918
475,0.000,200,-6963.00,-3.484
576,0.000,200,-7132.00,-3.575
678,0.000,200,-6997.00,-3.502
779,0.000,200,-6713.00,-3.349
880,0.000,200,-6617.00,-3.298
983,0.000,200,-6651.00,-3.316
1084,0.000,200,-6721.00,-3.354
1186,0.000,200,-6813.00,-3.403
1287,0.000,200,-6879.00,-3.439
1388,0.000,200,-6942.00,-3.473
1490,0.000,200,-7005.00,-3.507
1591,0.000,200,-7014.00,-3.512
1692,0.000,200,-7043.00,-3.527
1795,0.000,200,-7104.00,-3.560
1896,0.000,200,-7168.00,-3.595
1998,0.000,200,-7221.00,-3.623
2099,0.000,200,-7245.00,-3.636
2200,0.000,200,-7266.00,-3.647
2302,0.000,200,-7322.00,-3.678
2403,0.000,200,-7408.00,-3.724
2504,0.000,200,-7451.00,-3.747
2607,0.000,200,-7487.00,-3.767
2708,0.000,200,-7499.00,-3.773
2810,0.000,200,-7507.00,-3.777
2911,0.000,200,-7567.00,-3.810
3012,0.000,200,-7619.00,-3.838
3114,0.000,200,-7688.00,-3.875
3215,0.000,200,-7753.00,-3.910
3316,0.000,200,-7766.00,-3.917
3418,0.000,200,-7784.00,-3.927
3520,0.000,200,-7764.00,-3.916
3622,0.000,200,-7798.00,-3.934
3723,0.000,200,-7848.00,-3.961
3824,0.000,200,-7872.00,-3.974
3926,0.000,200,-7942.00,-4.012
4027,0.000,200,-8002.00,-4.044
4128,0.000,200,-8040.00,-4.065
4230,0.000,200,-8084.00,-4.088
4332,0.000,200,-8141.00,-4.119
4434,0.000,200,-8215.00,-4.159
4535,0.000,200,-8295.00,-4.202
4636,0.000,200,-8376.00,-4.246
4738,0.000,200,-8413.00,-4.266
4839,0.000,200,-8466.00,-4.294
4941,0.000,200,-8437.00,-4.279
5042,0.000,200,-8428.00,-4.274
5143,0.000,200,-8440.00,-4.280
5246,0.000,200,-8469.00,-4.296
5347,0.000,200,-8547.00,-4.338
5448,0.000,200,-8625.00,-4.380
5550,0.000,200,-8661.00,-4.399
5651,0.000,200,-8661.00,-4.399
5753,0.000,200,-8670.00,-4.404
5854,0.000,200,-8773.00,-4.460
5955,0.000,200,-8860.00,-4.507
6058,0.000,200,-8933.00,-4.546
6159,0.000,200,-9008.00,-4.587
6260,0.000,200,-9073.00,-4.622
6362,0.000,200,-9175.00,-4.677
6463,0.000,200,-9242.00,-4.713
6565,0.000,200,-9263.00,-4.724
6666,0.000,200,-9282.00,-4.734
6767,0.000,200,-9380.00,-4.787
6870,0.000,200,-9489.00,-4.846
6971,0.000,200,-9564.00,-4.886
7072,0.000,200,-9686.00,-4.952
7174,0.000,200,-9815.00,-5.022
7275,0.000,200,-9916.00,-5.076
7377,0.000,200,-9963.00,-5.101
7478,0.000,200,-10095.00,-5.173
7579,0.000,200,-10212.00,-5.236
7682,0.000,200,-10328.00,-5.298
7783,0.000,200,-10419.00,-5.347
7885,0.000,200,-10586.00,-5.437
7986,0.000,200,-10702.00,-5.500
8087,0.000,200,-10868.00,-5.589
8189,0.000,200,-11017.00,-5.670
8290,0.000,200,-11215.00,-5.776
8391,0.000,200,-11388.00,-5.870
8493,0.000,200,-11525.00,-5.943
8595,0.000,200,-11675.00,-6.024
8697,0.000,200,-11829.00,-6.107
8798,0.000,200,-11974.00,-6.185
8899,0.000,200,-12162.00,-6.287
9001,0.000,200,-12285.00,-6.353
9102,0.000,200,-12462.00,-6.449
9203,0.000,200,-12723.00,-6.589
9305,0.000,200,-12895.00,-6.682
9406,0.000,200,-13072.00,-6.777
9509,0.000,200,-13282.00,-6.891
9610,0.000,200,-13239.00,-6.867
9711,0.000,200,-13231.00,-6.863
9813,0.000,200,-13398.00,-6.953
9914,0.000,200,-13606.00,-7.065
10015,0.000,200,-13821.00,-7.181
10117,0.000,200,-13992.00,-7.273
10218,0.000,200,-14204.00,-7.388
10321,0.000,200,-14446.00,-7.518
10422,0.000,200,-14628.00,-7.616
10523,0.000,200,-14602.00,-7.602
10625,0.000,200,-14585.00,-7.593
10726,0.000,200,-14748.00,-7.681
10827,0.000,200,-14948.00,-7.789
10929,0.000,200,-15146.00,-7.895
11030,0.000,200,-15402.00,-8.033
11132,0.000,200,-15615.00,-8.148
11234,0.000,200,-15811.00,-8.254
11335,0.000,200,-16020.00,-8.367
11437,0.000,200,-16202.00,-8.465
11538,0.000,200,-16440.00,-8.593
11640,0.000,200,-16563.00,-8.659
11741,0.000,200,-16739.00,-8.754
11842,0.000,200,-16997.00,-8.893
11944,0.000,200,-17259.00,-9.035
12046,0.000,200,-17282.00,-9.047
12147,0.000,200,-16816.00,-8.796
12249,0.000,200,-16025.00,-8.369
12350,0.000,200,-15224.00,-7.937
12452,0.000,200,-14498.00,-7.546
12553,0.000,200,-13916.00,-7.232
12654,0.000,200,-13360.00,-6.933
12756,0.000,200,-12851.00,-6.658
12857,0.000,200,-12435.00,-6.434
12959,0.000,200,-11988.00,-6.193