ms,pos,steps,strain,g
0,0.000,200,-1516.00,-0.548
2,0.000,200,-1349.00,-0.458
26,0.000,200,-1014.00,-0.277
118,0.000,200,411.00,0.491
210,0.000,200,743.00,0.670
301,0.000,200,611.00,0.599
393,0.000,200,481.00,0.529
484,0.000,200,477.00,0.527
577,0.000,200,480.00,0.528
669,0.000,200,469.00,0.522
760,0.000,200,564.00,0.574
852,0.000,200,649.00,0.619
944,0.000,200,590.00,0.588
1035,0.000,200,690.00,0.642
1128,0.000,200,683.00,0.638
1220,0.000,200,679.00,0.636
1311,0.000,200,716.00,0.656
1403,0.000,200,719.00,0.657
1495,0.000,200,704.00,0.649
1586,0.000,200,761.00,0.680
1678,0.000,200,757.00,0.678
1771,0.000,200,810.00,0.706
1862,0.000,200,808.00,0.705
1954,0.000,200,720.00,0.658
2046,0.000,200,600.00,0.593
2137,0.000,200,580.00,0.582
2229,0.000,200,570.00,0.577
2320,0.000,200,666.00,0.629
2413,0.000,200,630.00,0.609
2505,0.000,200,568.00,0.576
2596,0.000,200,536.00,0.558
2688,0.000,200,493.00,0.535
2780,0.000,200,544.00,0.563
2871,0.000,200,484.00,0.530
2964,0.000,200,506.00,0.542
3056,0.000,200,547.00,0.564
3147,0.000,200,498.00,0.538
3239,0.000,200,403.00,0.487
3331,0.000,200,375.00,0.472
3422,0.000,200,391.00,0.480
3514,0.000,200,405.00,0.488
3607,0.000,200,478.00,0.527
3698,0.000,200,517.00,0.548
3790,0.000,200,555.00,0.569
3881,0.000,200,519.00,0.549
3973,0.000,200,502.00,0.540
4065,0.000,200,522.00,0.551
4157,0.000,200,447.00,0.511
4249,0.000,200,420.00,0.496
4341,0.000,200,355.00,0.461
4432,0.000,200,399.00,0.485
4524,0.000,200,463.00,0.519
4616,0.000,200,485.00,0.531
4707,0.000,200,492.00,0.535
4800,0.000,200,527.00,0.554
4892,0.000,200,526.00,0.553
4983,0.000,200,457.00,0.516
5075,0.000,200,428.00,0.500
5167,0.000,200,364.00,0.466
5258,0.000,200,303.00,0.433
5350,0.000,200,315.00,0.439
5442,0.000,200,393.00,0.481
5534,0.000,200,378.00,0.473