ms,pos,steps,strain,g
0,0.000,200,-389.00,0.060
2,0.000,200,-319.00,0.098
91,0.000,200,-324.00,0.095
182,0.000,200,-507.00,-0.004
274,0.000,200,-294.00,0.111
366,0.000,200,36.00,0.289
458,0.000,200,67.00,0.306
550,0.000,200,181.00,0.367
641,0.000,200,103.00,0.325
733,0.000,200,2.00,0.271
825,0.000,200,-26.00,0.256
916,0.000,200,-173.00,0.176
1008,0.000,200,-209.00,0.157
1101,0.000,200,59.00,0.301
1192,0.000,200,46.00,0.294
1284,0.000,200,-85.00,0.224
1376,0.000,200,253.00,0.406
1467,0.000,200,365.00,0.466
1559,0.000,200,412.00,0.492
1652,0.000,200,478.00,0.527
1743,0.000,200,414.00,0.493
1835,0.000,200,208.00,0.382
1927,0.000,200,124.00,0.336
2018,0.000,200,170.00,0.361
2110,0.000,200,117.00,0.333
2202,0.000,200,-78.00,0.227
2294,0.000,200,-158.00,0.184
2386,0.000,200,-180.00,0.173
2478,0.000,200,-37.00,0.250
2569,0.000,200,201.00,0.378
2661,0.000,200,375.00,0.472
2752,0.000,200,256.00,0.408
2845,0.000,200,138.00,0.344
2937,0.000,200,257.00,0.408
3028,0.000,200,245.00,0.402
3120,0.000,200,112.00,0.330
3212,0.000,200,16.00,0.278
3303,0.000,200,-287.00,0.115
3395,0.000,200,-357.00,0.077
3488,0.000,200,-315.00,0.100
3579,0.000,200,187.00,0.370
3671,0.000,200,560.00,0.571
3763,0.000,200,765.00,0.682
3854,0.000,200,879.00,0.743
3946,0.000,200,252.00,0.405
4039,0.000,200,286.00,0.424
4130,0.000,200,885.00,0.747
4222,0.000,200,1099.00,0.862
4314,0.000,200,1168.00,0.899
4405,0.000,200,1084.00,0.854
4497,0.000,200,1057.00,0.839
4589,0.000,200,1229.00,0.932
4681,0.000,200,1362.00,1.004
4773,0.000,200,1654.00,1.161
4864,0.000,200,1790.00,1.235
4956,0.000,200,1945.00,1.318
5048,0.000,200,2008.00,1.352
5139,0.000,200,1792.00,1.236
5231,0.000,200,1564.00,1.113
5324,0.000,200,1565.00,1.113
5415,0.000,200,1553.00,1.107
5507,0.000,200,1563.00,1.112
5599,0.000,200,1810.00,1.245
5690,0.000,200,1925.00,1.307
5782,0.000,200,1793.00,1.236
5875,0.000,200,1620.00,1.143
5966,0.000,200,1407.00,1.028
6058,0.000,200,1294.00,0.967
6150,0.000,200,1326.00,0.984
6241,0.000,200,1309.00,0.975
6333,0.000,200,1269.00,0.954
6425,0.000,200,1131.00,0.879
6517,0.000,200,952.00,0.783
6609,0.000,200,699.00,0.646
6700,0.000,200,571.00,0.577
6792,0.000,200,451.00,0.513
6884,0.000,200,382.00,0.475