ms,pos,steps,strain,g
0,0.000,200,-20.00,0.259
3,0.000,200,-53.00,0.241
9,0.000,200,-4.00,0.267
100,0.000,200,119.00,0.334
192,0.000,200,70.00,0.307
284,0.000,200,33.00,0.287
376,0.000,200,48.00,0.295
468,0.000,200,114.00,0.331
560,0.000,200,93.00,0.320
651,0.000,200,111.00,0.329
743,0.000,200,57.00,0.300
835,0.000,200,5.00,0.272
926,0.000,200,66.00,0.305
1019,0.000,200,39.00,0.291
1111,0.000,200,26.00,0.284
1202,0.000,200,103.00,0.325
1294,0.000,200,203.00,0.379
1386,0.000,200,150.00,0.350
1477,0.000,200,55.00,0.299
1570,0.000,200,112.00,0.330
1661,0.000,200,141.00,0.346
1753,0.000,200,110.00,0.329
1845,0.000,200,102.00,0.325
1936,0.000,200,75.00,0.310
2028,0.000,200,112.00,0.330
2120,0.000,200,165.00,0.358
2212,0.000,200,180.00,0.367
2304,0.000,200,190.00,0.372
2396,0.000,200,203.00,0.379
2487,0.000,200,160.00,0.356
2579,0.000,200,190.00,0.372
2671,0.000,200,248.00,0.403
2763,0.000,200,147.00,0.349
2855,0.000,200,82.00,0.314
2947,0.000,200,151.00,0.351
3038,0.000,200,162.00,0.357
3130,0.000,200,245.00,0.402
3221,0.000,200,215.00,0.385
3313,0.000,200,186.00,0.370
3406,0.000,200,153.00,0.352
3497,0.000,200,171.00,0.362
3589,0.000,200,207.00,0.381
3681,0.000,200,214.00,0.385
3772,0.000,200,186.00,0.370
3864,0.000,200,174.00,0.363
3956,0.000,200,127.00,0.338
4048,0.000,200,113.00,0.330
4140,0.000,200,125.00,0.337
4232,0.000,200,99.00,0.323
4323,0.000,200,140.00,0.345
4415,0.000,200,165.00,0.358
4507,0.000,200,174.00,0.363
4599,0.000,200,214.00,0.385
4691,0.000,200,123.00,0.336
4783,0.000,200,114.00,0.331
4874,0.000,200,192.00,0.373
4966,0.000,200,151.00,0.351
5057,0.000,200,163.00,0.357
5149,0.000,200,138.00,0.344
5242,0.000,200,165.00,0.358
5333,0.000,200,238.00,0.398
5425,0.000,200,197.00,0.376
5517,0.000,200,157.00,0.354
5608,0.000,200,131.00,0.340
5700,0.000,200,133.00,0.341
5793,0.000,200,163.00,0.357
5884,0.000,200,207.00,0.381
5976,0.000,200,170.00,0.361
6068,0.000,200,149.00,0.350
6159,0.000,200,129.00,0.339
6251,0.000,200,181.00,0.367
6342,0.000,200,187.00,0.370
6435,0.000,200,138.00,0.344
6527,0.000,200,183.00,0.368
6618,0.000,200,207.00,0.381
6710,0.000,200,141.00,0.346
6802,0.000,200,196.00,0.375
6893,0.000,200,216.00,0.386
6985,0.000,200,217.00,0.387
7078,0.000,200,211.00,0.383
7169,0.000,200,195.00,0.375
7261,0.000,200,250.00,0.404
7353,0.000,200,292.00,0.427
7444,0.000,200,230.00,0.394
7536,0.000,200,191.00,0.373
7629,0.000,200,264.00,0.412
7720,0.000,200,258.00,0.409
7812,0.000,200,203.00,0.379
7904,0.000,200,220.00,0.388
7995,0.000,200,269.00,0.415
8087,0.000,200,272.00,0.416
8178,0.000,200,243.00,0.401
8271,0.000,200,212.00,0.384
8363,0.000,200,246.00,0.402
8454,0.000,200,278.00,0.419
8546,0.000,200,267.00,0.413
8638,0.000,200,248.00,0.403
8729,0.000,200,283.00,0.422
8822,0.000,200,333.00,0.449
8914,0.000,200,309.00,0.436
9005,0.000,200,344.00,0.455
9097,0.000,200,371.00,0.470
9189,0.000,200,381.00,0.475
9280,0.000,200,375.00,0.472
9372,0.000,200,328.00,0.446
9465,0.000,200,327.00,0.446
9556,0.000,200,348.00,0.457
9648,0.000,200,354.00,0.460
9740,0.000,200,388.00,0.479
9831,0.000,200,371.00,0.470
9923,0.000,200,370.00,0.469
10014,0.000,200,327.00,0.446
10107,0.000,200,296.00,0.429
10199,0.000,200,336.00,0.451
10290,0.000,200,387.00,0.478
10382,0.000,200,473.00,0.525
10474,0.000,200,469.00,0.522
10565,0.000,200,518.00,0.549
10658,0.000,200,513.00,0.546
10750,0.000,200,466.00,0.521
10841,0.000,200,431.00,0.502
10933,0.000,200,451.00,0.513
11025,0.000,200,496.00,0.537
11116,0.000,200,378.00,0.473
11208,0.000,200,377.00,0.473
11301,0.000,200,401.00,0.486
11392,0.000,200,307.00,0.435
11484,0.000,200,259.00,0.409
11576,0.000,200,284.00,0.423
11667,0.000,200,321.00,0.443
11759,0.000,200,316.00,0.440
11851,0.000,200,249.00,0.404