ms,pos,steps,strain,g
0,0.000,200,104.00,0.326
2,0.000,200,153.00,0.352
83,0.000,200,-316.00,0.099
184,0.000,200,-1592.00,-0.589
286,0.000,200,-2179.00,-0.905
388,0.000,200,-2110.00,-0.868
489,0.000,200,-2022.00,-0.820
591,0.000,200,-2039.00,-0.830
692,0.000,200,-2137.00,-0.882
793,0.000,200,-2224.00,-0.929
895,0.000,200,-2303.00,-0.972
996,0.000,200,-2420.00,-1.035
1099,0.000,200,-2534.00,-1.096
1200,0.000,200,-2587.00,-1.125
1301,0.000,200,-2632.00,-1.149
1403,0.000,200,-2716.00,-1.195
1504,0.000,200,-2820.00,-1.251
1606,0.000,200,-2831.00,-1.257
1707,0.000,200,-2850.00,-1.267
1808,0.000,200,-2910.00,-1.299
1911,0.000,200,-2967.00,-1.330
2012,0.000,200,-2996.00,-1.346
2113,0.000,200,-3044.00,-1.371
2215,0.000,200,-3110.00,-1.407
2316,0.000,200,-3131.00,-1.418
2418,0.000,200,-3168.00,-1.438
2519,0.000,200,-3241.00,-1.478
2620,0.000,200,-3264.00,-1.490
2723,0.000,200,-3313.00,-1.516
2824,0.000,200,-3386.00,-1.556
2925,0.000,200,-3398.00,-1.562
3027,0.000,200,-3437.00,-1.583
3128,0.000,200,-3497.00,-1.616
3230,0.000,200,-3552.00,-1.645
3331,0.000,200,-3582.00,-1.661
3432,0.000,200,-3590.00,-1.666
3535,0.000,200,-3626.00,-1.685
3636,0.000,200,-3681.00,-1.715
3737,0.000,200,-3745.00,-1.749
3839,0.000,200,-3789.00,-1.773
3940,0.000,200,-3826.00,-1.793
4042,0.000,200,-3843.00,-1.802
4143,0.000,200,-3870.00,-1.817
4245,0.000,200,-3918.00,-1.843
4347,0.000,200,-3938.00,-1.853
4448,0.000,200,-4037.00,-1.907
4550,0.000,200,-4071.00,-1.925
4651,0.000,200,-4073.00,-1.926
4752,0.000,200,-4112.00,-1.947
4854,0.000,200,-4186.00,-1.987
4955,0.000,200,-4215.00,-2.003
5057,0.000,200,-4247.00,-2.020
5159,0.000,200,-4320.00,-2.059
5260,0.000,200,-4354.00,-2.078
5362,0.000,200,-4396.00,-2.100
5463,0.000,200,-4436.00,-2.122
5564,0.000,200,-4415.00,-2.111
5666,0.000,200,-4460.00,-2.135
5767,0.000,200,-4546.00,-2.181
5869,0.000,200,-4625.00,-2.224
5971,0.000,200,-4670.00,-2.248
6072,0.000,200,-4718.00,-2.274
6174,0.000,200,-4753.00,-2.293
6275,0.000,200,-4883.00,-2.363
6376,0.000,200,-4985.00,-2.418
6478,0.000,200,-5023.00,-2.438
6580,0.000,200,-5059.00,-2.458
6681,0.000,200,-5152.00,-2.508
6783,0.000,200,-5224.00,-2.547
6884,0.000,200,-5292.00,-2.583
6986,0.000,200,-5363.00,-2.622
7087,0.000,200,-5393.00,-2.638
7188,0.000,200,-5471.00,-2.680
7291,0.000,200,-5628.00,-2.764
7392,0.000,200,-5725.00,-2.817
7494,0.000,200,-5749.00,-2.830
7595,0.000,200,-5851.00,-2.885
7696,0.000,200,-5951.00,-2.939
7798,0.000,200,-6054.00,-2.994
7899,0.000,200,-6143.00,-3.042
8000,0.000,200,-6267.00,-3.109
8103,0.000,200,-6383.00,-3.171
8204,0.000,200,-6514.00,-3.242
8306,0.000,200,-6601.00,-3.289
8407,0.000,200,-6715.00,-3.350
8508,0.000,200,-6849.00,-3.423
8610,0.000,200,-7014.00,-3.512
8711,0.000,200,-7125.00,-3.571
8812,0.000,200,-7199.00,-3.611
8915,0.000,200,-7343.00,-3.689
9016,0.000,200,-7508.00,-3.778
9118,0.000,200,-7663.00,-3.861
9219,0.000,200,-7827.00,-3.950
9320,0.000,200,-7951.00,-4.017
9422,0.000,200,-8099.00,-4.096
9523,0.000,200,-8302.00,-4.206
9624,0.000,200,-8482.00,-4.303
9727,0.000,200,-8668.00,-4.403
9828,0.000,200,-8847.00,-4.500
9930,0.000,200,-9055.00,-4.612
10031,0.000,200,-9194.00,-4.687
10132,0.000,200,-9283.00,-4.735
10234,0.000,200,-9486.00,-4.844
10335,0.000,200,-9713.00,-4.967
10437,0.000,200,-9895.00,-5.065
10539,0.000,200,-10065.00,-5.156
10640,0.000,200,-10326.00,-5.297
10742,0.000,200,-10569.00,-5.428
10843,0.000,200,-10741.00,-5.521
10944,0.000,200,-10897.00,-5.605
11046,0.000,200,-11108.00,-5.719
11147,0.000,200,-11328.00,-5.837
11249,0.000,200,-11559.00,-5.962
11351,0.000,200,-11767.00,-6.074
11452,0.000,200,-11912.00,-6.152
11554,0.000,200,-12044.00,-6.223
11655,0.000,200,-12249.00,-6.334
11756,0.000,200,-12441.00,-6.437
11858,0.000,200,-12492.00,-6.465
11959,0.000,200,-11424.00,-5.889