ms,pos,steps,strain,g
0,0.000,200,120.00,0.334
2,0.000,200,152.00,0.351
13,0.000,200,142.00,0.346
114,0.000,200,225.00,0.391
216,0.000,200,317.00,0.440
317,0.000,200,372.00,0.470
419,0.000,200,389.00,0.479
521,0.000,200,421.00,0.496
622,0.000,200,495.00,0.536
724,0.000,200,538.00,0.560
825,0.000,200,566.00,0.575
926,0.000,200,638.00,0.613
1028,0.000,200,712.00,0.653
1129,0.000,200,741.00,0.669
1231,0.000,200,747.00,0.672
1333,0.000,200,788.00,0.694
1434,0.000,200,854.00,0.730
1536,0.000,200,847.00,0.726
1637,0.000,200,945.00,0.779
1738,0.000,200,1007.00,0.812
1840,0.000,200,992.00,0.804
1941,0.000,200,1002.00,0.810
2044,0.000,200,1117.00,0.872
2145,0.000,200,1213.00,0.923
2246,0.000,200,1257.00,0.947
2348,0.000,200,1288.00,0.964
2449,0.000,200,1349.00,0.997
2550,0.000,200,1391.00,1.019
2652,0.000,200,1421.00,1.036
2753,0.000,200,1507.00,1.082
2856,0.000,200,1530.00,1.094
2957,0.000,200,1619.00,1.142
3058,0.000,200,1724.00,1.199
3160,0.000,200,1772.00,1.225
3261,0.000,200,1848.00,1.266
3362,0.000,200,1842.00,1.263
3464,0.000,200,1891.00,1.289
3565,0.000,200,1968.00,1.330
3668,0.000,200,2078.00,1.390
3769,0.000,200,2161.00,1.435
3870,0.000,200,2200.00,1.456
3972,0.000,200,2282.00,1.500
4073,0.000,200,2368.00,1.546
4174,0.000,200,2481.00,1.607
4276,0.000,200,2625.00,1.685
4377,0.000,200,2738.00,1.746
4479,0.000,200,2813.00,1.786
4581,0.000,200,2905.00,1.836
4682,0.000,200,3044.00,1.911
4784,0.000,200,3196.00,1.992
4885,0.000,200,3369.00,2.086
4987,0.000,200,3435.00,2.121
5088,0.000,200,3517.00,2.165
5189,0.000,200,3446.00,2.127
5292,0.000,200,3150.00,1.968
5393,0.000,200,2833.00,1.797
5494,0.000,200,2587.00,1.664
5596,0.000,200,2378.00,1.551
5697,0.000,200,2205.00,1.458
5799,0.000,200,2068.00,1.384
5900,0.000,200,1919.00,1.304
6001,0.000,200,1745.00,1.210
6103,0.000,200,1622.00,1.144