ms,pos,steps,strain,g
0,0.000,200,41.00,0.292
2,0.000,200,56.00,0.300
4,0.000,200,36.00,0.289
95,0.000,200,99.00,0.323
187,0.000,200,178.00,0.365
278,0.000,200,267.00,0.413
370,0.000,200,384.00,0.477
463,0.000,200,488.00,0.533
554,0.000,200,511.00,0.545
646,0.000,200,516.00,0.548
738,0.000,200,563.00,0.573
829,0.000,200,550.00,0.566
921,0.000,200,576.00,0.580
1013,0.000,200,618.00,0.603
1105,0.000,200,642.00,0.616
1197,0.000,200,657.00,0.624
1288,0.000,200,646.00,0.618
1380,0.000,200,605.00,0.596
1472,0.000,200,587.00,0.586
1563,0.000,200,677.00,0.635
1656,0.000,200,679.00,0.636
1748,0.000,200,629.00,0.609
1839,0.000,200,703.00,0.649
1931,0.000,200,730.00,0.663
2023,0.000,200,693.00,0.643
2114,0.000,200,726.00,0.661
2206,0.000,200,724.00,0.660
2298,0.000,200,714.00,0.654
2390,0.000,200,763.00,0.681
2482,0.000,200,745.00,0.671
2573,0.000,200,733.00,0.665
2665,0.000,200,721.00,0.658
2757,0.000,200,797.00,0.699
2848,0.000,200,796.00,0.699
2941,0.000,200,759.00,0.679
3032,0.000,200,762.00,0.680
3124,0.000,200,733.00,0.665
3216,0.000,200,715.00,0.655
3307,0.000,200,774.00,0.687
3399,0.000,200,791.00,0.696
3492,0.000,200,732.00,0.664
3583,0.000,200,755.00,0.677
3675,0.000,200,701.00,0.647
3767,0.000,200,696.00,0.645
3858,0.000,200,711.00,0.653
3950,0.000,200,793.00,0.697
4042,0.000,200,782.00,0.691
4134,0.000,200,782.00,0.691
4226,0.000,200,825.00,0.714
4317,0.000,200,813.00,0.708
4409,0.000,200,805.00,0.704
4501,0.000,200,886.00,0.747
4592,0.000,200,860.00,0.733
4684,0.000,200,823.00,0.713
4777,0.000,200,868.00,0.737
4868,0.000,200,871.00,0.739
4960,0.000,200,923.00,0.767
5052,0.000,200,948.00,0.781
5143,0.000,200,947.00,0.780
5235,0.000,200,941.00,0.777
5328,0.000,200,973.00,0.794
5419,0.000,200,965.00,0.790
5511,0.000,200,1025.00,0.822
5602,0.000,200,1047.00,0.834
5694,0.000,200,1051.00,0.836
5786,0.000,200,1122.00,0.874
5877,0.000,200,1114.00,0.870
5970,0.000,200,1072.00,0.847
6062,0.000,200,956.00,0.785
6153,0.000,200,994.00,0.805
6245,0.000,200,972.00,0.794
6337,0.000,200,869.00,0.738