ms,pos,steps,strain,g
0,0.000,200,7.00,0.273
2,0.000,200,38.00,0.290
91,0.000,200,73.00,0.309
182,0.000,200,39.00,0.291
274,0.000,200,72.00,0.308
366,0.000,200,127.00,0.338
457,0.000,200,277.00,0.419
549,0.000,200,439.00,0.506
641,0.000,200,549.00,0.565
733,0.000,200,550.00,0.566
825,0.000,200,648.00,0.619
916,0.000,200,764.00,0.681
1008,0.000,200,734.00,0.665
1100,0.000,200,748.00,0.673
1191,0.000,200,808.00,0.705
1283,0.000,200,835.00,0.720
1376,0.000,200,880.00,0.744
1467,0.000,200,870.00,0.739
1559,0.000,200,863.00,0.735
1651,0.000,200,919.00,0.765
1742,0.000,200,885.00,0.747
1834,0.000,200,871.00,0.739
1926,0.000,200,887.00,0.748
2018,0.000,200,861.00,0.734
2110,0.000,200,863.00,0.735
2201,0.000,200,945.00,0.779
2293,0.000,200,919.00,0.765
2385,0.000,200,889.00,0.749
2476,0.000,200,939.00,0.776
2569,0.000,200,947.00,0.780
2661,0.000,200,968.00,0.791
2752,0.000,200,964.00,0.789
2844,0.000,200,923.00,0.767
2935,0.000,200,988.00,0.802
3027,0.000,200,940.00,0.776
3120,0.000,200,945.00,0.779
3211,0.000,200,989.00,0.803
3303,0.000,200,1006.00,0.812
3395,0.000,200,1031.00,0.825
3486,0.000,200,1030.00,0.825
3578,0.000,200,1115.00,0.871
3670,0.000,200,1112.00,0.869
3762,0.000,200,1124.00,0.875
3854,0.000,200,982.00,0.799
3945,0.000,200,943.00,0.778
4037,0.000,200,1031.00,0.825
4129,0.000,200,1001.00,0.809
4220,0.000,200,1042.00,0.831
4312,0.000,200,1107.00,0.866
4405,0.000,200,1106.00,0.866
4496,0.000,200,1141.00,0.885
4588,0.000,200,1186.00,0.909
4679,0.000,200,1196.00,0.914
4771,0.000,200,1206.00,0.920
4863,0.000,200,1227.00,0.931
4955,0.000,200,1283.00,0.961
5047,0.000,200,1269.00,0.954
5139,0.000,200,1261.00,0.949
5230,0.000,200,1357.00,1.001
5322,0.000,200,1432.00,1.042
5414,0.000,200,1459.00,1.056
5505,0.000,200,1480.00,1.067
5598,0.000,200,1479.00,1.067
5689,0.000,200,1492.00,1.074
5781,0.000,200,1507.00,1.082
5873,0.000,200,1520.00,1.089
5964,0.000,200,1425.00,1.038
6056,0.000,200,1315.00,0.978
6148,0.000,200,1235.00,0.935
6240,0.000,200,1161.00,0.895
6332,0.000,200,1160.00,0.895
6424,0.000,200,1050.00,0.836
6515,0.000,200,975.00,0.795