ms,pos,steps,strain,g
0,0.000,200,1445.00,1.049
2,0.000,200,1443.00,1.047
26,0.000,200,1456.00,1.054
128,0.000,200,1699.00,1.185
229,0.000,200,2045.00,1.372
331,0.000,200,2299.00,1.509
432,0.000,200,2483.00,1.608
533,0.000,200,2633.00,1.689
635,0.000,200,2790.00,1.774
736,0.000,200,2942.00,1.856
837,0.000,200,3058.00,1.918
939,0.000,200,3187.00,1.988
1040,0.000,200,3318.00,2.058
1142,0.000,200,3479.00,2.145
1244,0.000,200,3591.00,2.205
1345,0.000,200,3730.00,2.280
1447,0.000,200,3896.00,2.370
1548,0.000,200,3971.00,2.410
1649,0.000,200,4081.00,2.470
1751,0.000,200,4253.00,2.562
1852,0.000,200,4372.00,2.626
1954,0.000,200,4505.00,2.698
2055,0.000,200,4651.00,2.777
2156,0.000,200,4734.00,2.822
2258,0.000,200,4820.00,2.868
2359,0.000,200,4924.00,2.924
2460,0.000,200,5048.00,2.991
2563,0.000,200,5161.00,3.052
2664,0.000,200,5291.00,3.122
2766,0.000,200,5400.00,3.181
2867,0.000,200,5508.00,3.239
2968,0.000,200,5643.00,3.312
3070,0.000,200,5712.00,3.349
3171,0.000,200,5778.00,3.384
3272,0.000,200,5847.00,3.422
3374,0.000,200,5889.00,3.444
3475,0.000,200,5869.00,3.433
3577,0.000,200,5781.00,3.386
3678,0.000,200,5749.00,3.369
3779,0.000,200,5710.00,3.348
3882,0.000,200,5737.00,3.362
3983,0.000,200,5752.00,3.370
4084,0.000,200,5711.00,3.348
4186,0.000,200,5701.00,3.343
4287,0.000,200,5716.00,3.351
4389,0.000,200,5773.00,3.382
4490,0.000,200,5776.00,3.383
4591,0.000,200,5759.00,3.374
4693,0.000,200,5776.00,3.383
4794,0.000,200,5854.00,3.425
4896,0.000,200,5896.00,3.448
4997,0.000,200,5960.00,3.482
5099,0.000,200,6037.00,3.524
5201,0.000,200,6090.00,3.553
5302,0.000,200,6201.00,3.612
5403,0.000,200,6299.00,3.665
5505,0.000,200,6390.00,3.714
5606,0.000,200,6474.00,3.760
5708,0.000,200,6530.00,3.790
5809,0.000,200,6607.00,3.831
5910,0.000,200,6726.00,3.895
6012,0.000,200,6795.00,3.933
6113,0.000,200,6907.00,3.993
6214,0.000,200,7026.00,4.057
6317,0.000,200,7073.00,4.082
6418,0.000,200,7144.00,4.121
6520,0.000,200,7236.00,4.170
6621,0.000,200,7299.00,4.204
6722,0.000,200,7133.00,4.115
6824,0.000,200,6894.00,3.986
6925,0.000,200,6738.00,3.902