ms,pos,steps,strain,g
0,0.000,200,-2211.00,-0.922
2,0.000,200,-2245.00,-0.941
31,0.000,200,-1901.00,-0.755
123,0.000,200,-412.00,0.047
214,0.000,200,-84.00,0.224
306,0.000,200,-183.00,0.171
399,0.000,200,-147.00,0.190
490,0.000,200,-259.00,0.130
582,0.000,200,-290.00,0.113
674,0.000,200,-323.00,0.095
765,0.000,200,-275.00,0.121
857,0.000,200,-305.00,0.105
949,0.000,200,-268.00,0.125
1041,0.000,200,-292.00,0.112
1133,0.000,200,-299.00,0.108
1225,0.000,200,-317.00,0.099
1316,0.000,200,-417.00,0.045
1408,0.000,200,-330.00,0.092
1500,0.000,200,-281.00,0.118
1591,0.000,200,-298.00,0.109
1684,0.000,200,-319.00,0.098
1775,0.000,200,-246.00,0.137
1867,0.000,200,-160.00,0.183
1959,0.000,200,-191.00,0.167
2050,0.000,200,-174.00,0.176
2142,0.000,200,-113.00,0.209
2235,0.000,200,-69.00,0.232
2326,0.000,200,-110.00,0.210
2418,0.000,200,-130.00,0.199
2510,0.000,200,-125.00,0.202
2601,0.000,200,-189.00,0.168
2693,0.000,200,-218.00,0.152
2785,0.000,200,-255.00,0.132
2877,0.000,200,-168.00,0.179
2969,0.000,200,-114.00,0.208
3061,0.000,200,-105.00,0.213
3152,0.000,200,-150.00,0.189
3244,0.000,200,-136.00,0.196
3336,0.000,200,-62.00,0.236
3428,0.000,200,-153.00,0.187
3520,0.000,200,-123.00,0.203
3612,0.000,200,-101.00,0.215
3703,0.000,200,-160.00,0.183
3795,0.000,200,-257.00,0.131
3886,0.000,200,-246.00,0.137
3978,0.000,200,-116.00,0.207
4071,0.000,200,-82.00,0.225
4162,0.000,200,-88.00,0.222
4254,0.000,200,-179.00,0.173
4346,0.000,200,-196.00,0.164
4437,0.000,200,-140.00,0.194
4529,0.000,200,-73.00,0.230
4622,0.000,200,-80.00,0.226
4713,0.000,200,-113.00,0.209
4805,0.000,200,-34.00,0.251
4897,0.000,200,-99.00,0.216
4988,0.000,200,-172.00,0.177
5080,0.000,200,-150.00,0.189
5172,0.000,200,-102.00,0.215
5264,0.000,200,-138.00,0.195
5356,0.000,200,-173.00,0.176
5447,0.000,200,-135.00,0.197
5539,0.000,200,-85.00,0.224
5631,0.000,200,-25.00,0.256
5722,0.000,200,12.00,0.276
5814,0.000,200,-75.00,0.229
5907,0.000,200,-79.00,0.227
5998,0.000,200,64.00,0.304
6090,0.000,200,78.00,0.312
6182,0.000,200,61.00,0.302
6273,0.000,200,-87.00,0.223
6365,0.000,200,-143.00,0.192
6458,0.000,200,-219.00,0.151
6549,0.000,200,-270.00,0.124
6641,0.000,200,-301.00,0.107
6733,0.000,200,-253.00,0.133
6824,0.000,200,-144.00,0.192
6916,0.000,200,-3.00,0.268
7008,0.000,200,-5.00,0.267
7100,0.000,200,-57.00,0.239
7192,0.000,200,-106.00,0.212
7284,0.000,200,-142.00,0.193
7375,0.000,200,-216.00,0.153