ms,pos,steps,strain,g
0,0.000,200,-34.00,0.251
2,0.000,200,-64.00,0.235
61,0.000,200,43.00,0.293
152,0.000,200,427.00,0.500
244,0.000,200,631.00,0.610
336,0.000,200,715.00,0.655
427,0.000,200,849.00,0.727
519,0.000,200,879.00,0.743
612,0.000,200,843.00,0.724
703,0.000,200,857.00,0.732
795,0.000,200,901.00,0.755
887,0.000,200,899.00,0.754
978,0.000,200,797.00,0.699
1070,0.000,200,823.00,0.713
1163,0.000,200,865.00,0.736
1254,0.000,200,880.00,0.744
1346,0.000,200,880.00,0.744
1438,0.000,200,830.00,0.717
1529,0.000,200,797.00,0.699
1621,0.000,200,838.00,0.721
1713,0.000,200,894.00,0.751
1805,0.000,200,933.00,0.773
1897,0.000,200,971.00,0.793
1989,0.000,200,1023.00,0.821
2080,0.000,200,1039.00,0.830
2172,0.000,200,1002.00,0.810
2264,0.000,200,1002.00,0.810
2356,0.000,200,1025.00,0.822
2448,0.000,200,1082.00,0.853
2540,0.000,200,1195.00,0.914
2631,0.000,200,1197.00,0.915
2723,0.000,200,1165.00,0.898
2815,0.000,200,1219.00,0.927
2906,0.000,200,1302.00,0.971
2999,0.000,200,1404.00,1.026
3091,0.000,200,1418.00,1.034
3182,0.000,200,1403.00,1.026
3274,0.000,200,1454.00,1.053
3366,0.000,200,1567.00,1.114
3457,0.000,200,1624.00,1.145
3549,0.000,200,1688.00,1.180
3642,0.000,200,1693.00,1.182
3733,0.000,200,1787.00,1.233
3825,0.000,200,1915.00,1.302
3917,0.000,200,1979.00,1.336
4008,0.000,200,2139.00,1.423
4100,0.000,200,2249.00,1.482
4193,0.000,200,2324.00,1.522
4284,0.000,200,2421.00,1.575
4376,0.000,200,2583.00,1.662
4468,0.000,200,2748.00,1.751
4559,0.000,200,2807.00,1.783
4651,0.000,200,2912.00,1.839
4743,0.000,200,3175.00,1.981
4835,0.000,200,3442.00,2.125
4927,0.000,200,3685.00,2.256
5019,0.000,200,3987.00,2.419
5110,0.000,200,4317.00,2.597
5202,0.000,200,4583.00,2.740
5294,0.000,200,4797.00,2.856
5386,0.000,200,5079.00,3.008
5478,0.000,200,5461.00,3.213
5570,0.000,200,5865.00,3.431
5661,0.000,200,6434.00,3.738
5753,0.000,200,6930.00,4.005
5845,0.000,200,7130.00,4.113
