0,0.000,200,-68.00,0.233
2,0.000,200,-63.00,0.236
11,0.000,200,-48.00,0.244
112,0.000,200,-476.00,0.013
214,0.000,200,-2119.00,-0.873
316,0.000,200,-4404.00,-2.105
418,0.000,200,-6638.00,-3.309
519,0.000,200,-9508.00,-4.856
620,0.000,200,-12862.00,-6.664
722,0.000,200,-13588.00,-7.056
823,0.000,200,-8862.00,-4.508
924,0.000,200,-7303.00,-3.667
1026,0.000,200,-7501.00,-3.774
1127,0.000,200,-7657.00,-3.858
1230,0.000,200,-7770.00,-3.919
1331,0.000,200,-7895.00,-3.987
1432,0.000,200,-8049.00,-4.070
1534,0.000,200,-8167.00,-4.133
1635,0.000,200,-8247.00,-4.176
1736,0.000,200,-8305.00,-4.208
1838,0.000,200,-8394.00,-4.256
1939,0.000,200,-8481.00,-4.302
2041,0.000,200,-8558.00,-4.344
2142,0.000,200,-8638.00,-4.387
2244,0.000,200,-8677.00,-4.408
2346,0.000,200,-8776.00,-4.461
2447,0.000,200,-8864.00,-4.509
2548,0.000,200,-8890.00,-4.523
2650,0.000,200,-8928.00,-4.543
2751,0.000,200,-8976.00,-4.569
2853,0.000,200,-8989.00,-4.576
2954,0.000,200,-9004.00,-4.584
3055,0.000,200,-9068.00,-4.619
3158,0.000,200,-9106.00,-4.639
3259,0.000,200,-9165.00,-4.671
3361,0.000,200,-9181.00,-4.680
3462,0.000,200,-9240.00,-4.712
3563,0.000,200,-9299.00,-4.743
3665,0.000,200,-9343.00,-4.767
3766,0.000,200,-9371.00,-4.782
3867,0.000,200,-9394.00,-4.795
3970,0.000,200,-9390.00,-4.792
4071,0.000,200,-9477.00,-4.839
4173,0.000,200,-9539.00,-4.873
4274,0.000,200,-9572.00,-4.891
4375,0.000,200,-9597.00,-4.904
4477,0.000,200,-9641.00,-4.928
4578,0.000,200,-9712.00,-4.966
4679,0.000,200,-9752.00,-4.988
4781,0.000,200,-9775.00,-5.000
4882,0.000,200,-9803.00,-5.015
4985,0.000,200,-9895.00,-5.065
5086,0.000,200,-9931.00,-5.084
5187,0.000,200,-9957.00,-5.098
5289,0.000,200,-10037.00,-5.141
5390,0.000,200,-10086.00,-5.168
5491,0.000,200,-10162.00,-5.209
5593,0.000,200,-10239.00,-5.250
5694,0.000,200,-10273.00,-5.268
5797,0.000,200,-10309.00,-5.288
5898,0.000,200,-10357.00,-5.314
5999,0.000,200,-10385.00,-5.329
6101,0.000,200,-10472.00,-5.376
6202,0.000,200,-10558.00,-5.422
6303,0.000,200,-10608.00,-5.449
6405,0.000,200,-10626.00,-5.459
6506,0.000,200,-10701.00,-5.499
6608,0.000,200,-10741.00,-5.521
6710,0.000,200,-10820.00,-5.563
6811,0.000,200,-10863.00,-5.587
6913,0.000,200,-10930.00,-5.623
7014,0.000,200,-10944.00,-5.630
7116,0.000,200,-10987.00,-5.653
7217,0.000,200,-11108.00,-5.719
7318,0.000,200,-11207.00,-5.772
7420,0.000,200,-11265.00,-5.803
7521,0.000,200,-11357.00,-5.853
7623,0.000,200,-11461.00,-5.909
7725,0.000,200,-11555.00,-5.960
7826,0.000,200,-11600.00,-5.984
7928,0.000,200,-11663.00,-6.018
8029,0.000,200,-11793.00,-6.088
8130,0.000,200,-11907.00,-6.149
8232,0.000,200,-12033.00,-6.217
8333,0.000,200,-12133.00,-6.271
8434,0.000,200,-12237.00,-6.327
8536,0.000,200,-12332.00,-6.378
8638,0.000,200,-12471.00,-6.453
8740,0.000,200,-12606.00,-6.526
8841,0.000,200,-12675.00,-6.563
8942,0.000,200,-12779.00,-6.619
9044,0.000,200,-12924.00,-6.698
9145,0.000,200,-13075.00,-6.779
9246,0.000,200,-13167.00,-6.829
9348,0.000,200,-13309.00,-6.905
9450,0.000,200,-13479.00,-6.997
9552,0.000,200,-13599.00,-7.061
9653,0.000,200,-13711.00,-7.122
9754,0.000,200,-13829.00,-7.185
9856,0.000,200,-13961.00,-7.257
9957,0.000,200,-14096.00,-7.329
10058,0.000,200,-14177.00,-7.373
10160,0.000,200,-14325.00,-7.453
10261,0.000,200,-14494.00,-7.544
10364,0.000,200,-14619.00,-7.611
10465,0.000,200,-14716.00,-7.664
10566,0.000,200,-14832.00,-7.726
10668,0.000,200,-14999.00,-7.816
10769,0.000,200,-15218.00,-7.934
10871,0.000,200,-15367.00,-8.015
10972,0.000,200,-15636.00,-8.160
11073,0.000,200,-15844.00,-8.272
11175,0.000,200,-16066.00,-8.391
11277,0.000,200,-16243.00,-8.487
11378,0.000,200,-16474.00,-8.611
11480,0.000,200,-16668.00,-8.716
11581,0.000,200,-16777.00,-8.775
11683,0.000,200,-17035.00,-8.914
11784,0.000,200,-17317.00,-9.066
11885,0.000,200,-17553.00,-9.193
11987,0.000,200,-17772.00,-9.311
12088,0.000,200,-17955.00,-9.410
12190,0.000,200,-18170.00,-9.526
12292,0.000,200,-18240.00,-9.563
12393,0.000,200,-18390.00,-9.644
12495,0.000,200,-18666.00,-9.793
12596,0.000,200,-18980.00,-9.962
12697,0.000,200,-19327.00,-10.149
12799,0.000,200,-19638.00,-10.317
12900,0.000,200,-19910.00,-10.464
13001,0.000,200,-20230.00,-10.636
13104,0.000,200,-20536.00,-10.801
13205,0.000,200,-20868.00,-10.980
13307,0.000,200,-21215.00,-11.167
13408,0.000,200,-21541.00,-11.343
13509,0.000,200,-21859.00,-11.514
13611,0.000,200,-22148.00,-11.670
13712,0.000,200,-22473.00,-11.845
13814,0.000,200,-22849.00,-12.048
13915,0.000,200,-23209.00,-12.242
14017,0.000,200,-23553.00,-12.427
14119,0.000,200,-23870.00,-12.598
14220,0.000,200,-24150.00,-12.749
14321,0.000,200,-24582.00,-12.982
14423,0.000,200,-25046.00,-13.232
14524,0.000,200,-25454.00,-13.452
14626,0.000,200,-25887.00,-13.686
14727,0.000,200,-26387.00,-13.955
14828,0.000,200,-26860.00,-14.210
14931,0.000,200,-27324.00,-14.460
15032,0.000,200,-27875.00,-14.757
15133,0.000,200,-28371.00,-15.025
15235,0.000,200,-28883.00,-15.301
15336,0.000,200,-29426.00,-15.594
15438,0.000,200,-29932.00,-15.866
15539,0.000,200,-30436.00,-16.138
15640,0.000,200,-30920.00,-16.399
15743,0.000,200,-31405.00,-16.660
15844,0.000,200,-31767.00,-16.856
15945,0.000,200,-31380.00,-16.647