ms,pos,steps,strain,g
0,0.000,200,-13.00,0.263
2,0.000,200,2.00,0.271
73,0.000,200,104.00,0.326
166,0.000,200,97.00,0.322
258,0.000,200,-18.00,0.260
349,0.000,200,-5.00,0.267
441,0.000,200,193.00,0.374
533,0.000,200,433.00,0.503
624,0.000,200,524.00,0.552
717,0.000,200,547.00,0.564
809,0.000,200,602.00,0.594
900,0.000,200,662.00,0.626
992,0.000,200,729.00,0.663
1084,0.000,200,750.00,0.674
1175,0.000,200,757.00,0.678
1267,0.000,200,781.00,0.691
1360,0.000,200,810.00,0.706
1451,0.000,200,839.00,0.722
1543,0.000,200,846.00,0.726
1635,0.000,200,849.00,0.727
1726,0.000,200,805.00,0.704
1818,0.000,200,796.00,0.699
1911,0.000,200,768.00,0.684
2002,0.000,200,813.00,0.708
2094,0.000,200,857.00,0.732
2185,0.000,200,803.00,0.702
2277,0.000,200,786.00,0.693
2369,0.000,200,780.00,0.690
2460,0.000,200,856.00,0.731
2553,0.000,200,871.00,0.739
2645,0.000,200,848.00,0.727
2736,0.000,200,865.00,0.736
2828,0.000,200,909.00,0.760
2920,0.000,200,882.00,0.745
3011,0.000,200,898.00,0.754
3103,0.000,200,916.00,0.763
3196,0.000,200,951.00,0.782
3287,0.000,200,924.00,0.768
3379,0.000,200,952.00,0.783
3471,0.000,200,979.00,0.797
3562,0.000,200,903.00,0.756
3654,0.000,200,987.00,0.802
3746,0.000,200,1002.00,0.810
3838,0.000,200,982.00,0.799
3930,0.000,200,1019.00,0.819
4021,0.000,200,1038.00,0.829
4113,0.000,200,1072.00,0.847
4205,0.000,200,1107.00,0.866
4296,0.000,200,1063.00,0.843
4389,0.000,200,1053.00,0.837
4481,0.000,200,1037.00,0.829
4572,0.000,200,1055.00,0.838
4664,0.000,200,1045.00,0.833
4756,0.000,200,1037.00,0.829
4847,0.000,200,1075.00,0.849
4939,0.000,200,1126.00,0.877
5032,0.000,200,1168.00,0.899
5123,0.000,200,1175.00,0.903
5215,0.000,200,1166.00,0.898
5307,0.000,200,1185.00,0.908
5398,0.000,200,1265.00,0.951
5490,0.000,200,1307.00,0.974
5583,0.000,200,1275.00,0.957
5674,0.000,200,1366.00,1.006
5766,0.000,200,1408.00,1.029
5857,0.000,200,1371.00,1.009
5949,0.000,200,1296.00,0.968
6041,0.000,200,1209.00,0.921
6132,0.000,200,1099.00,0.862
6225,0.000,200,979.00,0.797
6317,0.000,200,912.00,0.761
6408,0.000,200,951.00,0.782
6500,0.000,200,957.00,0.785