ms,pos,steps,strain,g
0,0.000,200,8.00,0.274
2,0.000,200,60.00,0.302
56,0.000,200,95.00,0.321
147,0.000,200,144.00,0.347
239,0.000,200,219.00,0.388
330,0.000,200,302.00,0.432
423,0.000,200,327.00,0.446
514,0.000,200,303.00,0.433
606,0.000,200,321.00,0.443
698,0.000,200,337.00,0.451
789,0.000,200,338.00,0.452
881,0.000,200,329.00,0.447
972,0.000,200,373.00,0.471
1065,0.000,200,359.00,0.463
1156,0.000,200,424.00,0.498
1248,0.000,200,401.00,0.486
1339,0.000,200,395.00,0.482
1431,0.000,200,394.00,0.482
1522,0.000,200,404.00,0.487
1615,0.000,200,405.00,0.488
1707,0.000,200,427.00,0.500
1798,0.000,200,439.00,0.506
1890,0.000,200,432.00,0.502
1981,0.000,200,473.00,0.525
2073,0.000,200,440.00,0.507
2164,0.000,200,381.00,0.475
2257,0.000,200,390.00,0.480
2348,0.000,200,370.00,0.469
2440,0.000,200,441.00,0.507
2532,0.000,200,413.00,0.492
2623,0.000,200,369.00,0.468
2715,0.000,200,239.00,0.398
2806,0.000,200,148.00,0.349
2899,0.000,200,156.00,0.354
2990,0.000,200,99.00,0.323
3082,0.000,200,88.00,0.317
3173,0.000,200,106.00,0.327
3265,0.000,200,150.00,0.350
3356,0.000,200,204.00,0.380
3449,0.000,200,237.00,0.397
3541,0.000,200,206.00,0.381
3632,0.000,200,197.00,0.376
3724,0.000,200,235.00,0.396
3815,0.000,200,216.00,0.386
3907,0.000,200,133.00,0.341
3998,0.000,200,191.00,0.373
4091,0.000,200,282.00,0.422
4182,0.000,200,366.00,0.467
4274,0.000,200,401.00,0.486
4365,0.000,200,420.00,0.496
4457,0.000,200,404.00,0.487
4548,0.000,200,405.00,0.488
4640,0.000,200,365.00,0.466
4733,0.000,200,363.00,0.465
4824,0.000,200,432.00,0.502
4916,0.000,200,498.00,0.538
5007,0.000,200,514.00,0.547
5099,0.000,200,533.00,0.557
5190,0.000,200,546.00,0.564
5282,0.000,200,541.00,0.561
5374,0.000,200,540.00,0.561
5466,0.000,200,582.00,0.583
5557,0.000,200,608.00,0.597
5649,0.000,200,636.00,0.612
5741,0.000,200,676.00,0.634
5832,0.000,200,658.00,0.624
5925,0.000,200,640.00,0.615
6016,0.000,200,682.00,0.637
6108,0.000,200,612.00,0.599
6199,0.000,200,617.00,0.602
6291,0.000,200,595.00,0.590
6382,0.000,200,551.00,0.567
6474,0.000,200,468.00,0.522
6567,0.000,200,375.00,0.472
6658,0.000,200,318.00,0.441
6750,0.000,200,291.00,0.426
6841,0.000,200,177.00,0.365