fish,trial,frame,frame_raw,time_ms,pt_num,landmark,x,y,z
bass_1,s01,10,195,9,4,pm,5.882577,7.432269,5.318632
bass_1,s01,10,195,9,8,quad,7.561210092747807,6.243411676443548,6.075994489666679
bass_1,s01,10,195,9,2,so,8.310046,6.104835,6.458665
bass_1,s01,10,195,9,7,uro,7.119451,6.285705,5.54339
bass_1,s01,11,196,10,5,basi,6.755008,6.263981,5.426606
bass_1,s01,11,196,10,3,eye,7.072213,7.287908,6.650671
bass_1,s01,11,196,10,1,lj,5.574671,6.653663,5.179864
bass_1,s01,11,196,10,6,p2,10.7976718546206,5.985489205228966,7.138970091087416
bass_1,s01,11,196,10,4,pm,5.808797,7.395519,5.297902
bass_1,s01,11,196,10,8,quad,7.5482737413044845,6.265914727412737,6.083818504887239
bass_1,s01,11,196,10,2,so,8.273608,6.081818,6.442112
bass_1,s01,11,196,10,7,uro,7.040331,6.23222,5.496157
bass_1,s01,12,197,11,5,basi,6.701722,6.238688,5.414243
bass_1,s01,12,197,11,3,eye,7.004607,7.240348,6.642041
bass_1,s01,12,197,11,1,lj,5.511754,6.584916,5.141745
bass_1,s01,12,197,11,6,p2,10.751591384706868,5.962954568167098,7.121169169340195
bass_1,s01,12,197,11,4,pm,5.757689,7.330591,5.27091
bass_1,s01,12,197,11,8,quad,7.484525603379384,6.18643529840184,6.0223787132190285
bass_1,s01,12,197,11,2,so,8.220567,6.034936,6.424648
bass_1,s01,12,197,11,7,uro,6.992237,6.2061,5.465199
bass_1,s01,13,198,12,5,basi,6.651818,6.174694,5.368064
bass_1,s01,13,198,12,3,eye,6.944661,7.203565,6.621094
bass_1,s01,13,198,12,1,lj,5.455919,6.548395,5.141079
bass_1,s01,13,198,12,6,p2,10.700611136220823,5.938969915857301,7.1007753872518835
bass_1,s01,13,198,12,4,pm,5.67971,7.271807,5.243675
bass_1,s01,13,198,12,8,quad,7.431800619890359,6.152402209935778,6.076433073165797
bass_1,s01,13,198,12,2,so,8.171844,6.011171,6.399514
bass_1,s01,13,198,12,7,uro,6.906557,6.132196,5.441073
bass_1,s01,14,199,13,5,basi,6.578802,6.11026,5.366732
bass_1,s01,14,199,13,3,eye,6.875901,7.158949,6.606133
bass_1,s01,14,199,13,1,lj,5.377584,6.493182,5.133803
bass_1,s01,14,199,13,6,p2,10.64722881525798,5.914862376707437,7.081515576462047
bass_1,s01,14,199,13,4,pm,5.596548,7.239951,5.242506
bass_1,s01,14,199,13,8,quad,7.347437369795361,6.14233063416574,6.073651899052984
bass_1,s01,14,199,13,2,so,8.121804,5.964323,6.390052
bass_1,s01,14,199,13,7,uro,6.82509,6.071588,5.416877
bass_1,s01,15,200,14,5,basi,6.511992,6.072358,5.343108
bass_1,s01,15,200,14,3,eye,6.79452,7.105569,6.590723
bass_1,s01,15,200,14,1,lj,5.321882,6.428355,5.133171
bass_1,s01,15,200,14,6,p2,10.591000993109668,5.8910678781992125,7.063854729657608
bass_1,s01,15,200,14,4,pm,5.523122,7.186529,5.215432
bass_1,s01,15,200,14,8,quad,7.266385469145854,6.022887118890992,6.019296706905666
bass_1,s01,15,200,14,2,so,8.059136,5.925254,6.372864
bass_1,s01,15,200,14,7,uro,6.749266,6.017912,5.392995
bass_1,s01,16,201,15,5,basi,6.40939,6.048128,5.330356
bass_1,s01,16,201,15,3,eye,6.728393,7.058427,6.582187
bass_1,s01,16,201,15,1,lj,5.24398,6.378049,5.126003
bass_1,s01,16,201,15,6,p2,10.532364249158448,5.867856948424749,7.0482525643715634
bass_1,s01,16,201,15,4,pm,5.4638,7.121023,5.20809
bass_1,s01,16,201,15,8,quad,7.173154772438495,6.032485767748889,6.029172111328566
bass_1,s01,16,201,15,2,so,8.010891,5.885478,6.366207
bass_1,s01,16,201,15,7,uro,6.65942,5.998954,5.384189
bass_1,s01,17,202,16,5,basi,6.330132,5.98396,5.317815
bass_1,s01,17,202,16,3,eye,6.65999,7.011246,6.56088
bass_1,s01,17,202,16,1,lj,5.158994,6.318632,5.106442
bass_1,s01,17,202,16,6,p2,10.471699760473482,5.843768705263097,7.033480289439245
bass_1,s01,17,202,16,4,pm,5.386332,7.072606,5.200549
bass_1,s01,17,202,16,8,quad,7.153860136997723,5.992162408786384,6.003046438663834
bass_1,s01,17,202,16,2,so,7.963312,5.861801,6.360006
bass_1,s01,17,202,16,7,uro,6.58896,5.952025,5.375609
bass_1,s01,18,203,17,5,basi,6.227349,5.933369,5.305031
bass_1,s01,18,203,17,3,eye,6.588206,6.980601,6.546586
bass_1,s01,18,203,17,1,lj,5.092488,6.267981,5.093242
bass_1,s01,18,203,17,6,p2,10.407794067415402,5.821354680460955,7.018815195520945
bass_1,s01,18,203,17,4,pm,5.299462,7.013165,5.186335
bass_1,s01,18,203,17,8,quad,7.135185689560284,5.952897773689199,6.002758395379978
bass_1,s01,18,203,17,2,so,7.873045,5.831713,6.353581
bass_1,s01,18,203,17,7,uro,6.476701,5.905765,5.343775
bass_1,s01,19,204,18,5,basi,6.184643,5.907963,5.293172
bass_1,s01,19,204,18,3,eye,6.517457,6.952631,6.538279
bass_1,s01,19,204,18,1,lj,5.006007,6.189671,5.073823
bass_1,s01,19,204,18,6,p2,10.342540442254416,5.798059912623037,7.0072007586363645
bass_1,s01,19,204,18,4,pm,5.222082,6.993288,5.159498
bass_1,s01,19,204,18,8,quad,7.008737000435047,5.883747128593783,6.021752072166421
bass_1,s01,19,204,18,2,so,7.799073,5.80073,6.369884
bass_1,s01,19,204,18,7,uro,6.403825,5.872565,5.342717
bass_1,s01,20,205,19,5,basi,6.123838,5.830023,5.303343
bass_1,s01,20,205,19,3,eye,6.449554,6.928213,6.524107
bass_1,s01,20,205,19,1,lj,4.913826,6.125391,5.072789
bass_1,s01,20,205,19,6,p2,10.274900145549008,5.773908894887173,6.996326537776815
bass_1,s01,20,205,19,4,pm,5.145145,6.983537,5.15843
bass_1,s01,20,205,19,8,quad,6.900424631438598,5.839989983985226,5.98598789643799
bass_1,s01,20,205,19,2,so,7.697919,5.745836,6.389483
bass_1,s01,20,205,19,7,uro,6.356851,5.824897,5.349374
bass_1,s01,21,206,20,5,basi,6.021422,5.818784,5.31319
bass_1,s01,21,206,20,3,eye,6.349433,6.924099,6.510155
bass_1,s01,21,206,20,1,lj,4.822423,6.061336,5.022644
bass_1,s01,21,206,20,6,p2,10.20518910134392,5.750004987812057,6.987732780836102
bass_1,s01,21,206,20,4,pm,5.047827,6.996714,5.150624
bass_1,s01,21,206,20,8,quad,6.786731702006943,5.844635406254733,6.077710077606833
bass_1,s01,21,206,20,2,so,7.569288,5.723873,6.414223
bass_1,s01,21,206,20,7,uro,6.276048,5.764018,5.370504
bass_1,s01,22,207,21,5,basi,5.976876,5.740761,5.29001
bass_1,s01,22,207,21,3,eye,6.277323,6.929571,6.47822
bass_1,s01,22,207,21,1,lj,4.725664,5.978461,4.985019
bass_1,s01,22,207,21,6,p2,10.135183736740736,5.725326621243546,6.978645967686157
bass_1,s01,22,207,21,4,pm,4.955802,7.032942,5.130131
bass_1,s01,22,207,21,8,quad,6.7027503046062415,5.764840213065613,6.057669651038006
bass_1,s01,22,207,21,2,so,7.480792,5.693323,6.457656
bass_1,s01,22,207,21,7,uro,6.210433,5.702979,5.361907
bass_1,s01,23,208,22,5,basi,5.867937,5.690179,5.277263
bass_1,s01,23,208,22,3,eye,6.195458,6.942058,6.440266
bass_1,s01,23,208,22,1,lj,4.626136,5.852989,4.923329
bass_1,s01,23,208,22,6,p2,10.062539539887467,5.7032025816756144,6.9711057881039675
bass_1,s01,23,208,22,4,pm,4.874953,7.042319,5.05797
bass_1,s01,23,208,22,8,quad,6.6031369608657915,5.720346005059461,6.0923977147370065
bass_1,s01,23,208,22,2,so,7.3874,5.670949,6.478411
bass_1,s01,23,208,22,7,uro,6.106697,5.656517,5.33797
bass_1,s01,24,209,23,5,basi,5.791623,5.599508,5.231401
bass_1,s01,24,209,23,3,eye,6.113663,6.954707,6.396113
bass_1,s01,24,209,23,1,lj,4.559586,5.750389,4.880596
bass_1,s01,24,209,23,6,p2,9.990612650153553,5.678478994756925,6.963688058334873
bass_1,s01,24,209,23,4,pm,4.770103,7.046321,4.985404
